system,session,normalized_equity
M0,2024-01-05,1.0
M0,2024-01-08,1.0
M0,2024-01-09,1.0
M0,2024-01-10,1.0
M0,2024-01-11,1.0
M0,2024-01-12,1.0
M0,2024-01-16,1.0
M0,2024-01-17,1.0
M0,2024-01-18,1.0
M0,2024-01-19,1.0
M0,2024-01-22,0.9989831659770365
M0,2024-01-23,0.9967952120086396
M0,2024-01-24,0.9997450449664201
M0,2024-01-25,1.0045116845115196
M0,2024-01-26,1.0032223418208452
M0,2024-01-29,1.0041014282589211
M0,2024-01-30,1.011016972679186
M0,2024-01-31,1.0072857061985847
M0,2024-02-01,1.0060549671345793
M0,2024-02-02,1.0080085060102377
M0,2024-02-05,1.0075592004690537
M0,2024-02-06,1.0087313357110357
M0,2024-02-07,1.009375977362582
M0,2024-02-08,1.0081452681877217
M0,2024-02-09,1.0085554945511754
M0,2024-02-12,1.0100792525299422
M0,2024-02-13,1.0070903403944318
M0,2024-02-14,1.0105481126045641
M0,2024-02-15,1.0180496946589985
M0,2024-02-16,1.0164087292315394
M0,2024-02-20,1.0159550028166773
M0,2024-02-21,1.0212366985368637
M0,2024-02-22,1.0373609860419928
M0,2024-02-23,1.0399717479919277
M0,2024-02-26,1.0382251099382869
M0,2024-02-27,1.0360397754528663
M0,2024-02-28,1.0371026250742634
M0,2024-02-29,1.047527485415728
M0,2024-03-01,1.0489201274351485
M0,2024-03-04,1.0503656891492785
M0,2024-03-05,1.0471536476177852
M0,2024-03-06,1.0478577733466974
M0,2024-03-07,1.0511824604197257
M0,2024-03-08,1.048949504980776
M0,2024-03-11,1.0423599628543625
M0,2024-03-12,1.0521935811770204
M0,2024-03-13,1.0575235022267473
M0,2024-03-14,1.0552072252847369
M0,2024-03-15,1.0511675924298416
M0,2024-03-18,1.0558969895138948
M0,2024-03-19,1.0609219605313485
M0,2024-03-20,1.070348308096471
M0,2024-03-21,1.0756814610221552
M0,2024-03-22,1.0723434131717624
M0,2024-03-25,1.0704937778055073
M0,2024-03-26,1.0694738139230795
M0,2024-03-27,1.0799134931896528
M0,2024-03-28,1.0825285409720593
M0,2024-04-01,1.0803265809114382
