session,normalized_equity
2024-01-05,1.0
2024-01-08,1.0
2024-01-09,1.0
2024-01-10,1.0
2024-01-11,1.0
2024-01-12,1.0
2024-01-16,1.0
2024-01-17,1.0
2024-01-18,1.0
2024-01-19,1.0
2024-01-22,1.0
2024-01-23,1.0
2024-01-24,1.0
2024-01-25,1.0
2024-01-26,1.0
2024-01-29,1.0
2024-01-30,1.0
2024-01-31,1.0
2024-02-01,1.0
2024-02-02,1.0
2024-02-05,1.0
2024-02-06,1.0
2024-02-07,1.0
2024-02-08,1.0
2024-02-09,1.0
2024-02-12,1.0015912123185018
2024-02-13,0.9986761763524709
2024-02-14,1.0020484836997248
2024-02-15,1.00936465108752
2024-02-16,1.007764244978814
2024-02-20,1.0090979167043148
2024-02-21,1.0113270601737028
2024-02-22,1.0154614863626445
2024-02-23,1.0172143163921084
2024-02-26,1.0160139971877562
2024-02-27,1.01618546297669
2024-02-28,1.0179573642152377
2024-02-29,1.0211581766231754
2024-03-01,1.0196911230356178
2024-03-04,1.0223394246184438
2024-03-05,1.025902268963715
2024-03-06,1.0277694094556264
2024-03-07,1.0246066811650916
2024-03-08,1.0252735316030333
2024-03-11,1.0254068843147073
2024-03-12,1.028360033357998
2024-03-13,1.0312941405331129
2024-03-14,1.024797218163109
2024-03-15,1.029236463043184
2024-03-18,1.0337328630592197
2024-03-19,1.0358857799930377
2024-03-20,1.0407251407373235
2024-03-21,1.045926475499229
2024-03-22,1.0412776515624353
2024-03-25,1.0378482180390776
2024-03-26,1.0395819768594576
2024-03-27,1.0468029049938894
2024-03-28,1.0482890006401482
2024-04-01,1.0456978541932835
2024-04-02,1.045545430463051
2024-04-03,1.0444784931207554
2024-04-04,1.041620594952876
2024-04-05,1.045050057436091
2024-04-08,1.0449975250361867
2024-04-09,1.0449975250361867
2024-04-10,1.0449975250361867
2024-04-11,1.0449975250361867
2024-04-12,1.0449975250361867
2024-04-15,1.032492071015014
2024-04-16,1.0256735664205012
2024-04-17,1.019428592082457
2024-04-18,1.0139456603003583
2024-04-19,1.0019169262888032
2024-04-22,1.0081313509151797
2024-04-23,1.0142483268040674
2024-04-24,1.0130329696023617
2024-04-25,1.0094971911479016
2024-04-26,1.0189479658030896
2024-04-29,1.0293043102320343
2024-04-30,1.0126957018859457
2024-05-01,1.0178464424010907
2024-05-02,1.0350920499055454
2024-05-03,1.0573934563815894
2024-05-06,1.058646087378552
2024-05-07,1.0600629356715572
2024-05-08,1.059358346037195
2024-05-09,1.0654984289210168
2024-05-10,1.059497881404319
2024-05-13,1.06401474441887
2024-05-14,1.0670868601504815
2024-05-15,1.0695166756478212
2024-05-16,1.06555161086688
2024-05-17,1.0675095941573147
2024-05-20,1.0676704273163766
2024-05-21,1.0694651807739888
2024-05-22,1.0666761632415172
2024-05-23,1.0553469307418417
2024-05-24,1.0607006600160587
2024-05-28,1.0632069878752903
2024-05-29,1.063545702420153
2024-05-30,1.0606476652358936
2024-05-31,1.05735386900888
2024-06-03,1.0641096536266916
2024-06-04,1.0664939968662077
2024-06-05,1.0728271171826844
2024-06-06,1.076796769614103
2024-06-07,1.080129591542015
2024-06-10,1.0778741185502163
2024-06-11,1.1048184445311742
2024-06-12,1.1154562072731329
2024-06-13,1.1122413881816253
2024-06-14,1.1086161923008202
2024-06-17,1.1172644534558573
2024-06-18,1.1105241071762606
2024-06-20,1.1076151785650472
2024-06-21,1.1087509508031035
2024-06-24,1.103749174826345
2024-06-25,1.1068832275936265
2024-06-26,1.1277371936446778
2024-06-27,1.1368843826104558
2024-06-28,1.1221033398359455
2024-07-01,1.1407617458256978
2024-07-02,1.1524207321915785
2024-07-03,1.150569620186429
2024-07-05,1.163947356539041
