symbol,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,turnover,total_commission_cost,total_slippage_cost,total_transaction_cost,commission_cost_rate,slippage_cost_rate,transaction_cost_rate,trade_count,average_exposure,time_in_market,decision_count,decision_failure_count,decision_failure_rate,cumulative_dividends,buy_decision_count,hold_decision_count,sell_decision_count,noop_rebalance_count,filled_order_count,rejected_order_count,risk_free_rate,annualization_factor,same_stock_buy_and_hold_cumulative_return,spy_cumulative_return,excess_return_vs_same_stock_buy_and_hold,excess_return_vs_spy
AAPL,0.0,0.0,0.0,,,-0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26,0,0.0,0.0,0,22,4,26,0,0,0.0,252,0.24445791046925902,0.1900101348956349,-0.24445791046925902,-0.1900101348956349
AMZN,0.06687926080758766,0.14061082802653946,0.1603551167561008,0.8999883940014229,1.3830778088093918,0.11526831799184034,1.2198566828787514,2.987395269022867,149.4435650483773,149.41863976391346,298.86220481229077,0.001494435650483773,0.0014941863976391345,0.002988622048122908,3,0.608,0.608,26,0,0.0,0.0,4,21,1,23,3,0,0.0,252,0.3615929018079702,0.1900101348956349,-0.29471364100038255,-0.12313087408804724
JPM,-0.009566406000315442,-0.019345423701338182,0.10744108552144718,-0.12800652279902766,-0.16372955444259185,0.06385531134262568,-0.30295715884207786,2.005727622283981,99.52146542020057,99.52127602072028,199.04274144092085,0.0009952146542020056,0.0009952127602072028,0.0019904274144092087,2,0.224,0.224,26,0,0.0,0.0,2,22,2,24,2,0,0.0,252,0.2026686045183097,0.1900101348956349,-0.21223501051862514,-0.19957654089595034
