week_start,decision_session,decision_close_utc,decision_close_ny,execution_session,execution_open_utc,execution_open_ny
2023-10-02,2023-10-06,2023-10-06T20:00:00+00:00,2023-10-06T16:00:00-04:00,2023-10-09,2023-10-09T13:30:00+00:00,2023-10-09T09:30:00-04:00
2023-10-09,2023-10-13,2023-10-13T20:00:00+00:00,2023-10-13T16:00:00-04:00,2023-10-16,2023-10-16T13:30:00+00:00,2023-10-16T09:30:00-04:00
2023-10-16,2023-10-20,2023-10-20T20:00:00+00:00,2023-10-20T16:00:00-04:00,2023-10-23,2023-10-23T13:30:00+00:00,2023-10-23T09:30:00-04:00
2023-10-23,2023-10-27,2023-10-27T20:00:00+00:00,2023-10-27T16:00:00-04:00,2023-10-30,2023-10-30T13:30:00+00:00,2023-10-30T09:30:00-04:00
