symbol,decision_session,next_evaluation_session,action,strategy_forward_return,same_stock_buy_hold_forward_return,underlying_forward_close_return,SPY_forward_return,strategy_excess_vs_stock,strategy_excess_vs_spy,commission_cost_in_period,slippage_cost_in_period,transaction_cost_in_period,average_exposure_in_period
AAPL,2024-01-05,2024-01-12,BUY,0.020013297396594965,0.020013297396594965,0.026161859426987455,0.016595174092710163,0.0,0.0034181233038848013,49.97501249375313,49.95003747500594,99.92504996875907,0.8333333333333334
AAPL,2024-01-12,2024-01-19,HOLD,0.030335625293696822,0.030335625293696822,0.030335625293696822,0.012062599832292298,0.0,0.018273025461404524,0.0,0.0,0.0,1.0
AAPL,2024-01-19,2024-01-26,HOLD,0.00448945818946922,0.00448945818946922,0.00448945818946922,0.010322764080501035,0.0,-0.005833305891031815,0.0,0.0,0.0,1.0
AAPL,2024-01-26,2024-02-02,HOLD,-0.034144019132414716,-0.034144019132414494,-0.034144019132414716,0.014238530902766389,-2.220446049250313e-16,-0.048382550035181104,0.0,0.0,0.0,1.0
AAPL,2024-02-02,2024-02-09,HOLD,0.017433413471380943,0.017433413471380943,0.016142049510537992,0.013856591515069905,0.0,0.003576821956311038,0.0,0.0,0.0,0.999788460528269
AAPL,2024-02-09,2024-02-16,HOLD,-0.03458674858015143,-0.034586748580151316,-0.03463070314404404,-0.0033719121286165388,-1.1102230246251565e-16,-0.03121483645153489,0.0,0.0,0.0,0.9987057897024112
AAPL,2024-02-16,2024-02-23,HOLD,0.0011504064791070245,0.0011504064791070245,0.0011519209191190871,0.016696354700357574,0.0,-0.01554594822125055,0.0,0.0,0.0,0.9986874575727942
AAPL,2024-02-23,2024-03-01,HOLD,-0.015648941413381245,-0.015648941413381134,-0.01566951858766752,0.00984536662389135,-1.1102230246251565e-16,-0.025494308037272595,0.0,0.0,0.0,0.9986783479587341
AAPL,2024-03-01,2024-03-08,HOLD,-0.049638731608319664,-0.049638731608319775,-0.04970504183508495,-0.0022033234937330892,1.1102230246251565e-16,-0.047435408114586575,0.0,0.0,0.0,0.9986082359398142
AAPL,2024-03-08,2024-03-15,HOLD,0.011054567746006105,0.011054567746006327,0.011070107465597667,-0.0005765156712814745,-2.220446049250313e-16,0.01163108341728758,0.0,0.0,0.0,0.9986085183796268
AAPL,2024-03-15,2024-03-22,HOLD,-0.0019668882890071515,-0.0019668882890073736,-0.001969622926956238,0.022251621837359847,2.220446049250313e-16,-0.024218510126367,0.0,0.0,0.0,0.998623280756457
AAPL,2024-03-22,2024-03-28,HOLD,-0.004637161520777866,-0.004637161520777866,-0.004643621462574576,0.0035577035830387516,0.0,-0.008194865103816618,0.0,0.0,0.0,0.998602679129219
AAPL,2024-03-28,2024-04-05,HOLD,-0.011064488397258931,-0.011064488397258931,-0.011079974035711926,-0.008843766089677185,0.0,-0.002220722307581746,0.0,0.0,0.0,0.9985879748695686
AAPL,2024-04-05,2024-04-12,HOLD,0.041043464998950396,0.04104346499895062,0.04110155222324097,-0.014576196733630642,-2.220446049250313e-16,0.05561966173258104,0.0,0.0,0.0,0.9985993860380388
AAPL,2024-04-12,2024-04-19,HOLD,-0.0653317659226853,-0.06533176592268541,-0.0654205771577242,-0.03061792429086163,1.1102230246251565e-16,-0.03471384163182367,0.0,0.0,0.0,0.9985876663872163
