account_symbol,session,symbol,type,value,quantity_eligible,cash_effect
AAPL,2024-02-09,AAPL,dividend,0.24,0.0,0.0
AAPL,2024-05-10,AAPL,dividend,0.25,0.0,0.0
JPM,2024-04-04,JPM,dividend,1.15,0.0,0.0
JPM,2024-07-05,JPM,dividend,1.15,0.0,0.0
