symbol,buy_count,hold_count,sell_count,failed_count,no_op_count,actual_trades,time_in_market
AAPL,2,21,3,0,25,1,0.456
AMZN,4,22,0,0,25,1,0.456
JPM,2,22,2,0,24,2,0.304
