session,normalized_equity
2024-01-05,1.0
2024-01-08,1.0050225166088085
2024-01-09,1.010173851458112
2024-01-10,1.015529451566816
2024-01-11,1.0188199609382211
2024-01-12,1.0175491463429052
2024-01-16,1.0142359564646706
2024-01-17,1.010945447093266
2024-01-18,1.0150075173792057
2024-01-19,1.0191830605482606
2024-01-22,1.0179122461798769
2024-01-23,1.0207262173248817
2024-01-24,1.0226551197246851
2024-01-25,1.024652133767012
2024-01-26,1.027761093106465
2024-01-29,1.0326174397613206
2024-01-30,1.0274887856457788
2024-01-31,1.0188653568994317
2024-02-01,1.0281241929434366
2024-02-02,1.0565587886530075
2024-02-05,1.0531548063984875
2024-02-06,1.0505223850585024
2024-02-07,1.053654059852336
2024-02-08,1.0520882223419532
2024-02-09,1.0625497958324372
2024-02-12,1.0577615260994864
2024-02-13,1.0493650435732338
2024-02-14,1.0546752474937955
2024-02-15,1.0519974649132189
2024-02-16,1.05133934216118
2024-02-20,1.0458249074749049
2024-02-21,1.0492515704631866
2024-02-22,1.0628448187475044
2024-02-23,1.0637752489602292
2024-02-26,1.063185203130095
2024-02-27,1.0604847050951378
2024-02-28,1.0596223865249363
2024-02-29,1.0677919230580264
2024-03-01,1.0711051476568798
2024-03-04,1.0696527832565443
2024-03-05,1.0618009156516643
2024-03-06,1.0604166281732332
2024-03-07,1.0679281113955224
2024-03-08,1.0645922060629072
2024-03-11,1.056899207529285
2024-03-12,1.0646829637185735
2024-03-13,1.0673380657923204
2024-03-14,1.072307885330291
2024-03-15,1.062481719137465
2024-03-18,1.0626178727543418
2024-03-19,1.065840305203842
2024-03-20,1.070946278585622
2024-03-21,1.070946278585622
2024-03-22,1.0725801927909773
2024-03-25,1.0744864491776378
2024-03-26,1.0712866976888318
2024-03-27,1.074758756638324
2024-03-28,1.076006890499878
2024-04-01,1.0773457817901664
2024-04-02,1.0767103744925084
2024-04-03,1.0806136104278092
2024-04-04,1.0751445372090578
2024-04-05,1.086650013795382
2024-04-08,1.0869223212560681
2024-04-09,1.0880115860463644
2024-04-10,1.08864699311709
2024-04-11,1.0956819038462244
2024-04-12,1.0890554891422044
2024-04-15,1.0833594699302904
2024-04-16,1.0826787011651087
2024-04-17,1.078049266009729
2024-04-18,1.0733744691598932
2024-04-19,1.0629582918575518
2024-04-22,1.0688585068876284
2024-04-23,1.0741006341132175
2024-04-24,1.067406142487293
2024-04-25,1.060779728010205
2024-04-26,1.0742821839182373
2024-04-29,1.0773231010564046
2024-04-30,1.0637979296939912
2024-05-01,1.0728752157060444
2024-05-02,1.0858557374264661
2024-05-03,1.0892370389472241
2024-05-06,1.0948876272503767
2024-05-07,1.0950237810941859
2024-05-08,1.0932991092331639
2024-05-09,1.0967030914876839
2024-05-10,1.0921190522935145
2024-05-13,1.090053996049902
2024-05-14,1.0911886568014086
2024-05-15,1.0887377854933755
2024-05-16,1.0833821853846712
2024-05-17,1.0858103412383235
2024-05-20,1.0831779201252705
2024-05-21,1.0822928861006884
2024-05-22,1.0822475246331646
2024-05-23,1.0775273318221184
2024-05-24,1.0768465283363178
2024-05-28,1.080023564597675
2024-05-29,1.079728576403227
2024-05-30,1.0736014151530557
2024-05-31,1.067065758104702
2024-06-03,1.071377455117566
2024-06-04,1.0736467766205793
2024-06-05,1.078049266009729
2024-06-06,1.0864911447241241
2024-06-07,1.0849026267069115
2024-06-10,1.0911659415739599
2024-06-11,1.0915517219177613
2024-06-12,1.0907801610032264
2024-06-13,1.0838360426503773
2024-06-14,1.0834502623065758
2024-06-17,1.08435797706492
2024-06-18,1.0815213251861533
2024-06-20,1.0889874122202998
2024-06-21,1.095749980541197
2024-06-24,1.0877846745468887
2024-06-25,1.0895320271416724
2024-06-26,1.1060300042266613
2024-06-27,1.115651939880706
2024-06-28,1.1052130471239836
2024-07-01,1.1141768600259896
2024-07-02,1.1205309672693236
2024-07-03,1.1150618940505719
2024-07-05,1.1205309672693236
