timestamp,session,symbol,cash,quantity,close_price,market_value,equity,current_weight,average_entry_price,unrealized_pnl,realized_pnl,cumulative_cost,current_drawdown,peak_equity,cumulative_dividends,cumulative_commission_cost,cumulative_slippage_cost,cumulative_transaction_cost
2024-01-05T21:00:00+00:00,2024-01-05,AMZN,100000.0,0.0,145.2400055,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-08T21:00:00+00:00,2024-01-08,AMZN,100000.0,0.0,149.1000061,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-09T21:00:00+00:00,2024-01-09,AMZN,100000.0,0.0,151.3699951,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-10T21:00:00+00:00,2024-01-10,AMZN,100000.0,0.0,153.7299957,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-11T21:00:00+00:00,2024-01-11,AMZN,100000.0,0.0,155.1799927,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-12T21:00:00+00:00,2024-01-12,AMZN,100000.0,0.0,154.6199951,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-16T21:00:00+00:00,2024-01-16,AMZN,100000.0,0.0,153.1600037,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-17T21:00:00+00:00,2024-01-17,AMZN,100000.0,0.0,151.7100067,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-18T21:00:00+00:00,2024-01-18,AMZN,100000.0,0.0,153.5,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-19T21:00:00+00:00,2024-01-19,AMZN,100000.0,0.0,155.3399963,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-22T21:00:00+00:00,2024-01-22,AMZN,100000.0,0.0,154.7799988,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-23T21:00:00+00:00,2024-01-23,AMZN,100000.0,0.0,156.0200043,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-24T21:00:00+00:00,2024-01-24,AMZN,100000.0,0.0,156.8699951,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-25T21:00:00+00:00,2024-01-25,AMZN,100000.0,0.0,157.75,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-26T21:00:00+00:00,2024-01-26,AMZN,100000.0,0.0,159.1199951,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-29T21:00:00+00:00,2024-01-29,AMZN,100000.0,0.0,161.2599945,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-30T21:00:00+00:00,2024-01-30,AMZN,100000.0,0.0,159.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-01-31T21:00:00+00:00,2024-01-31,AMZN,100000.0,0.0,155.1999969,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-01T21:00:00+00:00,2024-02-01,AMZN,100000.0,0.0,159.2799988,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-02T21:00:00+00:00,2024-02-02,AMZN,100000.0,0.0,171.8099976,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-05T21:00:00+00:00,2024-02-05,AMZN,100000.0,0.0,170.3099976,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-06T21:00:00+00:00,2024-02-06,AMZN,100000.0,0.0,169.1499939,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-07T21:00:00+00:00,2024-02-07,AMZN,100000.0,0.0,170.5299988,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-08T21:00:00+00:00,2024-02-08,AMZN,100000.0,0.0,169.8399963,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-09T21:00:00+00:00,2024-02-09,AMZN,100000.0,0.0,174.4499969,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-12T21:00:00+00:00,2024-02-12,AMZN,100000.0,0.0,172.3399963,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-13T21:00:00+00:00,2024-02-13,AMZN,100000.0,0.0,168.6399994,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-14T21:00:00+00:00,2024-02-14,AMZN,100000.0,0.0,170.9799957,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-15T21:00:00+00:00,2024-02-15,AMZN,100000.0,0.0,169.8000031,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-16T21:00:00+00:00,2024-02-16,AMZN,100000.0,0.0,169.5099945,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0
2024-02-20T21:00:00+00:00,2024-02-20,AMZN,0.0,595.2456287826319,167.0800018,99453.64072844427,99453.64072844427,1.0,167.91391680089998,-546.3592715557381,0.0,99.92504996876414,-0.005463592715557297,100000.0,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-02-21T21:00:00+00:00,2024-02-21,AMZN,0.0,595.2456287826319,168.5899963,100352.45835405508,100352.45835405508,1.0,167.91391680089998,352.45835405508063,0.0,99.92504996876414,0.0,100352.45835405508,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-02-22T21:00:00+00:00,2024-02-22,AMZN,0.0,595.2456287826319,174.5800018,103917.982944314,103917.982944314,1.0,167.91391680089998,3917.982944314001,0.0,99.92504996876414,0.0,103917.982944314,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-02-23T21:00:00+00:00,2024-02-23,AMZN,0.0,595.2456287826319,174.9900055,104162.03585452371,104162.03585452371,1.0,167.91391680089998,4162.0358545237095,0.0,99.92504996876414,0.0,104162.03585452371,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-02-26T21:00:00+00:00,2024-02-26,AMZN,0.0,595.2456287826319,174.7299957,104007.26615763306,104007.26615763306,1.0,167.91391680089998,4007.2661576330593,0.0,99.92504996876414,-0.0014858551450243063,104162.03585452371,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-02-27T21:00:00+00:00,2024-02-27,AMZN,0.0,595.2456287826319,173.5399933,103298.92243079223,103298.92243079223,1.0,167.91391680089998,3298.92243079222,0.0,99.92504996876414,-0.008286257239988437,104162.03585452371,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-02-28T21:00:00+00:00,2024-02-28,AMZN,0.0,595.2456287826319,173.1600037,103072.73528240937,103072.73528240937,1.0,167.91391680089998,3072.7352824093664,0.0,99.92504996876414,-0.010457750399922028,104162.03585452371,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-02-29T21:00:00+00:00,2024-02-29,AMZN,0.0,595.2456287826319,176.7599945,105215.61406976706,105215.61406976706,1.0,167.91391680089998,5215.614069767057,0.0,99.92504996876414,0.0,105215.61406976706,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-01T21:00:00+00:00,2024-03-01,AMZN,0.0,595.2456287826319,178.2200012,106084.67667593542,106084.67667593542,1.0,167.91391680089998,6084.676675935418,0.0,99.92504996876414,0.0,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-04T21:00:00+00:00,2024-03-04,AMZN,0.0,595.2456287826319,177.5800018,105703.7198306619,105703.7198306619,1.0,167.91391680089998,5703.7198306618975,0.0,99.92504996876414,-0.0035910638294845976,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-05T21:00:00+00:00,2024-03-05,AMZN,0.0,595.2456287826319,174.1199951,103644.1659669283,103644.1659669283,1.0,167.91391680089998,3644.16596692829,0.0,99.92504996876414,-0.023005308452438755,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-06T21:00:00+00:00,2024-03-06,AMZN,0.0,595.2456287826319,173.5099945,103281.0657762235,103281.0657762235,1.0,167.91391680089998,3281.0657762235032,0.0,99.92504996876414,-0.026428047740356564,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-07T21:00:00+00:00,2024-03-07,AMZN,0.0,595.2456287826319,176.8200073,105251.33642663805,105251.33642663805,1.0,167.91391680089998,5251.336426638052,0.0,99.92504996876414,-0.007855425264131521,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-08T21:00:00+00:00,2024-03-08,AMZN,0.0,595.2456287826319,175.3500061,104376.32463803285,104376.32463803285,1.0,167.91391680089998,4376.324638032838,0.0,99.92504996876414,-0.016103664463447465,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-11T20:00:00+00:00,2024-03-11,AMZN,0.0,595.2456287826319,171.9600067,102358.4423136071,102358.4423136071,1.0,167.91391680089998,2358.442313607097,0.0,99.92504996876414,-0.03512509515121698,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-12T20:00:00+00:00,2024-03-12,AMZN,0.0,595.2456287826319,175.3899994,104400.13047503843,104400.13047503843,1.0,167.91391680089998,4400.130475038426,0.0,99.92504996876414,-0.015879260357675395,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-13T20:00:00+00:00,2024-03-13,AMZN,0.0,595.2456287826319,176.5599976,105096.56678927198,105096.56678927198,1.0,167.91391680089998,5096.566789271979,0.0,99.92504996876414,-0.009314350739663357,106084.67667593542,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-14T20:00:00+00:00,2024-03-14,AMZN,0.0,595.2456287826319,178.75,106400.15614489546,106400.15614489546,1.0,167.91391680089998,6400.156144895451,0.0,99.92504996876414,0.0,106400.15614489546,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-15T20:00:00+00:00,2024-03-15,AMZN,0.0,595.2456287826319,174.4199982,103822.74150082453,103822.74150082453,1.0,167.91391680089998,3822.7415008245275,0.0,99.92504996876414,-0.024223786293706362,106400.15614489546,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-18T20:00:00+00:00,2024-03-18,AMZN,0.0,595.2456287826319,174.4799957,103858.4547504374,103858.4547504374,1.0,167.91391680089998,3858.4547504374013,0.0,99.92504996876414,-0.023888135944056033,106400.15614489546,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-19T20:00:00+00:00,2024-03-19,AMZN,0.0,595.2456287826319,175.8999939,104703.70247186662,104703.70247186662,1.0,167.91391680089998,4703.7024718666125,0.0,99.92504996876414,-0.01594409006993014,106400.15614489546,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-20T20:00:00+00:00,2024-03-20,AMZN,0.0,595.2456287826319,178.1499939,106043.00513662754,106043.00513662754,1.0,167.91391680089998,6043.005136627535,0.0,99.92504996876414,-0.003356677482517445,106400.15614489546,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-21T20:00:00+00:00,2024-03-21,AMZN,0.0,595.2456287826319,178.1499939,106043.00513662754,106043.00513662754,1.0,167.91391680089998,6043.005136627535,0.0,99.92504996876414,-0.003356677482517445,106400.15614489546,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-22T20:00:00+00:00,2024-03-22,AMZN,0.0,595.2456287826319,178.8699951,106471.58270364579,106471.58270364579,1.0,167.91391680089998,6471.582703645792,0.0,99.92504996876414,0.0,106471.58270364579,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-25T20:00:00+00:00,2024-03-25,AMZN,0.0,595.2456287826319,179.7100067,106971.5959366725,106971.5959366725,1.0,167.91391680089998,6971.595936672495,0.0,99.92504996876414,0.0,106971.5959366725,0.0,49.97501249375313,49.950037475011015,99.92504996876414
2024-03-26T20:00:00+00:00,2024-03-26,AMZN,0.0,595.2456287826319,178.3000031,106132.29745720472,106132.29745720472,1.0,167.91391680089998,6132.297457204714,0.0,99.92504996876414,-0.007845993809091567,106971.5959366725,0.0,49.97501249375313,49.950037475011015,99.92504996876414
