dimension,view,spearman,cosine_mae,top5_overlap,pass
256,manager,0.9239673591256639,0.07837414360635112,0.9357142857142857,False
256,trader,0.9453284427976189,0.06262259563105219,0.8714285714285713,False
256,joint,0.9409056171718833,0.07046514734864703,0.9214285714285714,False
512,manager,0.9656454667828009,0.042227913656971414,0.9607142857142856,False
512,trader,0.9785764104149297,0.034161609819094114,0.9142857142857143,False
512,joint,0.9747369689307599,0.03812026110529311,0.9535714285714285,False
1024,manager,1.0000000000000002,0.0,1.0,True
1024,trader,1.0000000000000002,0.0,1.0,True
1024,joint,1.0000000000000002,0.0,1.0,True
