scope,action,sample_count,mean_forward_return,median_forward_return,mean_strategy_return,mean_excess_vs_stock,mean_excess_vs_spy
ALL,BUY,5,0.00946864045891791,0.011567149478956873,0.008109220796854744,-0.00250154944802512,0.008169001981419432
ALL,HOLD,65,0.010119251247424283,0.011070107465597667,0.005490943466404219,-0.004568166007435423,-0.0025662339299703024
ALL,SELL,8,0.0062312923251011815,0.015916422699220667,0.0011955806621814502,-0.0042595789984488375,0.0004086685080693653
AAPL,BUY,1,0.011948649075582685,0.011948649075582685,0.002860945157799888,-0.009056965018327645,0.006759007038174447
AAPL,HOLD,20,0.011799761915232155,0.0077797828275334435,0.008477930829579294,-0.003427467508483317,0.0010494988392385717
AAPL,SELL,5,-0.0015966369317590655,0.0005793469365291681,0.0,0.0028178586821304475,-0.006380079219673163
AMZN,BUY,2,0.01902804574394179,0.01902804574394179,0.018252716641253497,-0.0007753291026884046,0.017192637657889864
AMZN,HOLD,22,0.011537314457004833,0.013450056322982684,0.004946107688603485,-0.006048695564292595,-0.002755619158336785
AMZN,SELL,2,0.020683242535953772,0.020683242535953772,0.0006354462744511125,-0.02004779626150266,-0.0018709664382451363
JPM,BUY,2,-0.0013307691344383588,-0.0013307691344383588,0.0005898627719834182,-0.0009500620082105726,-0.00014963622342850647
JPM,HOLD,23,0.007301529335818653,0.012508646636989695,0.0034147104163222467,-0.0041439190390956115,-0.005529198293453557
JPM,SELL,1,0.016467038187697236,0.016467038187697236,0.008293752748549377,-0.008070332875237618,0.03891167703941101
