scope,decision_count,buy_count,hold_count,sell_count,buy_rate,hold_rate,sell_rate,no_op_count,no_op_rate,actual_fill_count,filled_order_count,average_exposure,time_in_market,turnover,total_commission,total_slippage,total_transaction_cost
AAPL,26,1,20,5,0.038461538461538464,0.7692307692307693,0.19230769230769232,25,0.9615384615384616,1,1,0.216,0.216,0.9834213908153207,49.97501249375313,49.95003747501436,99.9250499687675
AMZN,26,2,22,2,0.07692307692307693,0.8461538461538461,0.07692307692307693,23,0.8846153846153846,3,3,0.72,0.72,3.016712278703963,157.48190506031642,157.45698379502835,314.93888885534477
JPM,26,2,23,1,0.07692307692307693,0.8846153846153846,0.038461538461538464,24,0.9230769230769231,2,2,0.4636708407865987,0.464,1.9258634699737807,104.01216878340682,104.0142258588354,208.02639464224222
equal_weight_aggregate,78,5,65,8,0.0641025641025641,0.8333333333333334,0.10256410256410256,72,0.9230769230769231,6,6,0.4665569469288662,0.4666666666666666,1.9835166502092085,311.46908633747637,311.4212471288781,622.8903334663545
