symbol,buy_count,hold_count,sell_count,failed_count,no_op_count,actual_trades,time_in_market
AAPL,0,21,5,0,26,0,0.0
AMZN,6,20,0,0,25,1,0.992
JPM,0,25,1,0,26,0,0.0
