candidate_id,symbol,outcome_count,state_count,mean,median,std,p05,p95,median_absolute_reward,non_trivial_spread_fraction
R1_ABSOLUTE_NET_LOG_RETURN,AAPL,54,18,0.0014599713656055853,0,0.0095972773456296494,-0.016085617303185133,0.016180638285523824,0.0010002500833645618,1
R1_ABSOLUTE_NET_LOG_RETURN,AEMD,54,18,0.01962989984742422,0,0.045335884628387543,-0.021868780189939218,0.10405584252970423,0.0010000000833332453,1
R1_ABSOLUTE_NET_LOG_RETURN,AGI,54,18,-0.003133490390251078,-0.00050012504168216979,0.030293422396021077,-0.047138683003275221,0.04278332169159365,0.0025202991029887045,1
R1_ABSOLUTE_NET_LOG_RETURN,AMZN,54,18,0.010234398275720343,0,0.01948217128755456,-0.010664441168037752,0.04578563911178693,0.0010002500833645618,1
R1_ABSOLUTE_NET_LOG_RETURN,ARR,54,18,-0.00078001548256900624,0,0.018385979949584595,-0.026640648655354933,0.038027810945008705,0.0010002500833645618,1
R1_ABSOLUTE_NET_LOG_RETURN,EML,54,18,0.0020020159398138346,-0.00050012504168216979,0.044521822498128388,-0.054648051276657325,0.081347657739661003,0.0025965549257424801,1
R1_ABSOLUTE_NET_LOG_RETURN,JBSS,54,18,-0.00012161935327667818,0,0.021742260607097118,-0.045850839324003828,0.038343629123150494,0.0011806351408574945,1
R1_ABSOLUTE_NET_LOG_RETURN,JPM,54,18,0.0014119836476322719,0,0.016902243391102034,-0.027103291680296536,0.035821305162506915,0.0010002500833646729,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,AAPL,54,18,-0.00033333336111108781,0,0.0079764396067486896,-0.013608698230546978,0.011608698063880481,0,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,AEMD,54,18,-0.00033333336111109372,0,0.040447421679086736,-0.08732680784299604,0.085326807676329525,0,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,AGI,54,18,-0.00033333336111108618,0,0.024841396869014775,-0.042775943027626641,0.040775942860960222,0,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,AMZN,54,18,-0.00033333336111107518,0,0.018098739988249696,-0.034489177820143511,0.032489177653477093,0,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,ARR,54,18,-0.00033333336111108629,0,0.015018982341693325,-0.025754352481542939,0.023754352314876308,0,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,EML,54,18,-0.00033333336111109302,0,0.036402915858504983,-0.035198853653770797,0.03319885348710401,0,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,JBSS,54,18,-0.00033333336111106754,0,0.017755410458776245,-0.039454115732972257,0.037454115566305811,0,1
R2_HOLD_RELATIVE_LOG_ADVANTAGE,JPM,54,18,-0.00033333336111110348,0,0.01387668682900728,-0.027453204209452312,0.025453204042785487,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,AAPL,54,18,-0.0024512050100912158,0,0.010765659814329127,-0.017530800898044117,0.0068283774442699707,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,AEMD,54,18,-0.010136388004265624,0,0.044214864284045176,-0.091578815277516559,0.034863195232906298,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,AGI,54,18,-0.0066031800604011721,0,0.033960815724607366,-0.086133475007454927,0.040775942860960222,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,AMZN,54,18,-0.003768211803732659,0,0.01741374844523973,-0.04455726670352219,0.026825526782570257,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,ARR,54,18,-0.0051626498097776564,0,0.022836317555375508,-0.05766231350324829,0.019422877839078534,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,EML,54,18,-0.0046295117382749284,0,0.045532808936673309,-0.060040147293522812,0.03319885348710401,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,JBSS,54,18,-0.004043722234448488,0,0.024803695200119671,-0.043165064838143356,0.031173055300467288,0,1
R3_HOLD_RELATIVE_DRAWDOWN_UTILITY,JPM,54,18,-0.0029216681898092708,0,0.018061496149206824,-0.04182077903157537,0.025434599487323815,0,1
