case_id,symbol,split_role,decision_session,state_template,R1_action_spread,R1_best_action_set,R2_action_spread,R2_best_action_set,R3_action_spread,R3_best_action_set,R2_R3_best_set_changed
AEMD:2023-06-09,AEMD,TRAIN,2023-06-09,LONG,0.085557638111427622,"{BUY,HOLD}",0.085557638111427539,"{BUY,HOLD}",0.085557638111427539,"{BUY,HOLD}",False
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,CASH,0.025668496998859373,{BUY},0.025668496998859373,{BUY},0.025668496998859373,{BUY},False
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,LONG,0.027668497165525836,"{BUY,HOLD}",0.027668497165525909,"{BUY,HOLD}",0.027668497165525909,"{BUY,HOLD}",False
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,CASH,0.12575195555584182,{BUY},0.12575195555584182,{BUY},0.041194567527778822,{BUY},False
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,LONG,0.12775195572250839,"{BUY,HOLD}",0.12775195572250844,"{BUY,HOLD}",0.12775195572250844,"{BUY,HOLD}",False
AEMD:2023-07-07,AEMD,VALIDATION,2023-07-07,CASH,0.00099975008330204017,"{HOLD,SELL}",0.00099975008330204017,"{HOLD,SELL}",0.047519765718194856,"{HOLD,SELL}",False
AEMD:2023-07-07,AEMD,VALIDATION,2023-07-07,LONG,0.0010002500833645618,"{BUY,HOLD}",0.0010002500833645618,"{BUY,HOLD}",0.0010002500833645618,"{BUY,HOLD}",False
AGI:2023-05-05,AGI,TRAIN,2023-05-05,CASH,0.043653267365354409,"{HOLD,SELL}",0.043653267365354409,"{HOLD,SELL}",0.090824896177417042,"{HOLD,SELL}",False
AGI:2023-05-05,AGI,TRAIN,2023-05-05,LONG,0.041653267198687977,{SELL},0.041653267198687803,{SELL},0.041653267198687803,{SELL},False
AGI:2023-05-12,AGI,TRAIN,2023-05-12,CASH,0.054611347842715825,"{HOLD,SELL}",0.054611347842715825,"{HOLD,SELL}",0.12402539397729442,"{HOLD,SELL}",False
AGI:2023-05-12,AGI,TRAIN,2023-05-12,LONG,0.052611347676049219,{SELL},0.052611347676049171,{SELL},0.052611347676049171,{SELL},False
AGI:2023-05-19,AGI,TRAIN,2023-05-19,CASH,0.022574659075556197,"{HOLD,SELL}",0.022574659075556197,"{HOLD,SELL}",0.066249739193547347,"{HOLD,SELL}",False
AGI:2023-05-19,AGI,TRAIN,2023-05-19,LONG,0.020574658908889661,{SELL},0.020574658908889574,{SELL},0.020574658908889574,{SELL},False
AGI:2023-05-26,AGI,TRAIN,2023-05-26,CASH,0.0050400982059147607,"{HOLD,SELL}",0.0050400982059147607,"{HOLD,SELL}",0.028705010682713927,"{HOLD,SELL}",False
AGI:2023-05-26,AGI,TRAIN,2023-05-26,LONG,0.0030400980392483964,{SELL},0.0030400980392483764,{SELL},0.0030400980392483764,{SELL},False
AGI:2023-06-02,AGI,TRAIN,2023-06-02,CASH,0.012849765399442938,{BUY},0.012849765399442938,{BUY},0.012916530245290254,"{HOLD,SELL}",True
AGI:2023-06-02,AGI,TRAIN,2023-06-02,LONG,0.014849765566109664,"{BUY,HOLD}",0.014849765566109641,"{BUY,HOLD}",0.014849765566109641,"{BUY,HOLD}",False
AGI:2023-06-09,AGI,TRAIN,2023-06-09,CASH,0.0062854018134103403,"{HOLD,SELL}",0.0062854018134103403,"{HOLD,SELL}",0.039035395569153045,"{HOLD,SELL}",False
AGI:2023-06-09,AGI,TRAIN,2023-06-09,LONG,0.004285401646743809,{SELL},0.0042854016467437969,{SELL},0.0042854016467437969,{SELL},False
AGI:2023-06-16,AGI,TRAIN,2023-06-16,CASH,0.042303537615004001,"{HOLD,SELL}",0.042303537615004001,"{HOLD,SELL}",0.083607325146706102,"{HOLD,SELL}",False
AGI:2023-06-16,AGI,TRAIN,2023-06-16,LONG,0.04030353744833777,{SELL},0.040303537448337687,{SELL},0.040303537448337687,{SELL},False
AGI:2023-06-30,AGI,VALIDATION,2023-06-30,CASH,0.0057004360219617073,{BUY},0.0057004360219617073,{BUY},0.044943249070856083,"{HOLD,SELL}",True
AGI:2023-06-30,AGI,VALIDATION,2023-06-30,LONG,0.0077004361886281771,"{BUY,HOLD}",0.0077004361886280669,"{BUY,HOLD}",0.0077004361886280669,"{BUY,HOLD}",False
AGI:2023-07-07,AGI,VALIDATION,2023-07-07,CASH,0.096517533222313726,{BUY},0.096517533222313726,{BUY},0.092335241027076465,{BUY},False
AGI:2023-07-07,AGI,VALIDATION,2023-07-07,LONG,0.098517533388980075,"{BUY,HOLD}",0.0985175333889802,"{BUY,HOLD}",0.0985175333889802,"{BUY,HOLD}",False
AMZN:2023-05-05,AMZN,TRAIN,2023-05-05,CASH,0.047500243561421802,{BUY},0.047500243561421802,{BUY},0.030236749014386218,{BUY},False
AMZN:2023-05-05,AMZN,TRAIN,2023-05-05,LONG,0.049500243728088034,"{BUY,HOLD}",0.049500243728088048,"{BUY,HOLD}",0.049500243728088048,"{BUY,HOLD}",False
