case_id,symbol,split_role,decision_session,execution_session,maturity_session,state_template,action,decision_close_price,pre_execution_equity,terminal_equity,hold_terminal_equity,turnover_notional,commission_cost,slippage_cost,total_cost,action_was_noop,action_mdd,hold_mdd,r3_drawdown_penalty,R1,R2,R3
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,2023-05-08,2023-05-12,CASH,BUY,173.57000729999999,100000,100091.21702097448,100000,99950.024987506244,49.97501249375312,49.950037475007861,99.925049968760987,False,0.0099711567723342887,0,0.010021201704505173,0.00091175443531781497,0.00091175443531781497,-0.0091094472691873579
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,2023-05-08,2023-05-12,CASH,HOLD,173.57000729999999,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,2023-05-08,2023-05-12,CASH,SELL,173.57000729999999,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,2023-05-08,2023-05-12,LONG,BUY,173.57000729999999,99372.004635503632,99562.136332294787,99562.136332294787,0,0,0,0,True,0.0099711567723342887,0.0099711567723342887,0,0.0019115045186200443,0,0
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,2023-05-08,2023-05-12,LONG,HOLD,173.57000729999999,99372.004635503632,99562.136332294787,99562.136332294787,0,0,0,0,True,0.0099711567723342887,0.0099711567723342887,0,0.0019115045186200443,0,0
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,2023-05-08,2023-05-12,LONG,SELL,173.57000729999999,99372.004635503632,99272.657473869302,99562.136332294787,99322.318633185889,49.661159316592943,49.686002317744098,99.347161634337041,False,0,0.0099711567723342887,0,-0.0010002500833644506,-0.0029117546019844552,-0.0029117546019844552
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,2023-05-15,2023-05-19,CASH,BUY,172.57000729999999,100000,101053.92194489627,100000,99950.024987506244,49.97501249375312,49.950037475012948,99.925049968766075,False,0.0062947353702327291,0,0.0063146307516410548,0.010484069032138544,0.010484069032138544,0.0041694382804974891
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,2023-05-15,2023-05-19,CASH,HOLD,172.57000729999999,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,2023-05-15,2023-05-19,CASH,SELL,172.57000729999999,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,2023-05-15,2023-05-19,LONG,BUY,172.57000729999999,100341.88814686341,101500.83808914575,101500.83808914575,0,0,0,0,True,0.0062947353702327291,0.0062947353702327291,0,0.011483819115440495,0,0
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,2023-05-15,2023-05-19,LONG,HOLD,172.57000729999999,100341.88814686341,101500.83808914575,101500.83808914575,0,0,0,0,True,0.0062947353702327291,0.0062947353702327291,0,0.011483819115440495,0,0
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,2023-05-15,2023-05-19,LONG,SELL,172.57000729999999,100341.88814686341,100241.57134418859,101500.83808914575,100291.71720278998,50.145858601394991,50.17094407342902,100.316802674824,False,0,0.0062947353702327291,0,-0.0010002500833644506,-0.012484069198805087,-0.012484069198805087
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,2023-05-22,2023-05-26,CASH,BUY,175.1600037,100000,100732.66957330678,100000,99950.024987506244,49.97501249375312,49.950037475014057,99.925049968767183,False,0.015154990510794941,0,0.015271000963360391,0.0072999858818416806,0.0072999858818416806,-0.0079710150815187099
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,2023-05-22,2023-05-26,CASH,HOLD,175.1600037,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,2023-05-22,2023-05-26,CASH,SELL,175.1600037,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,2023-05-22,2023-05-26,LONG,BUY,175.1600037,99326.325659354843,100154.13849868513,100154.13849868513,0,0,0,0,True,0.015154990510794941,0.015154990510794941,0,0.0082997359651436255,0,0
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,2023-05-22,2023-05-26,LONG,HOLD,175.1600037,99326.325659354843,100154.13849868513,100154.13849868513,0,0,0,0,True,0.015154990510794941,0.015154990510794941,0,0.0082997359651436255,0,0
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,2023-05-22,2023-05-26,LONG,SELL,175.1600037,99326.325659354843,99227.024165276904,100154.13849868513,99276.662496525169,49.638331248262588,49.663162829675869,99.301494077938457,False,0,0.015154990510794941,0,-0.0010002500833645618,-0.0092999860485082839,-0.0092999860485082839
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,2023-05-30,2023-06-05,CASH,BUY,175.42999270000001,100000,101379.15325557425,100000,99950.024987506258,49.975012493753127,49.950037475007569,99.925049968760703,False,0.0075711253024067782,0,0.0075999317618966099,0.013697294837115561,0.013697294837115561,0.0060973630752189515
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,2023-05-30,2023-06-05,CASH,HOLD,175.42999270000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,2023-05-30,2023-06-05,CASH,SELL,175.42999270000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,2023-05-30,2023-06-05,LONG,BUY,175.42999270000001,100872.15075167704,102365.62120087234,102365.62120087234,0,0,0,0,True,0.0075711253024066671,0.0075711253024066671,0,0.014697044920417337,0,0
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,2023-05-30,2023-06-05,LONG,HOLD,175.42999270000001,100872.15075167704,102365.62120087234,102365.62120087234,0,0,0,0,True,0.0075711253024066671,0.0075711253024066671,0,0.014697044920417337,0,0
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,2023-05-30,2023-06-05,LONG,SELL,175.42999270000001,100872.15075167704,100771.30381896305,102365.62120087234,100821.7146763012,50.410857338150599,50.436075375830384,100.84693271398098,False,0,0.0075711253024066671,0,-0.0010002500833645618,-0.015697295003781923,-0.015697295003781923
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,2023-06-05,2023-06-09,CASH,BUY,180.9499969,100000,98986.572563401147,100000,99950.024987506258,49.975012493753127,49.950037475009317,99.925049968762437,False,0.026337389645440412,0,0.026690431288411049,-0.010185975724888618,-0.010185975724888618,-0.036876407013299667
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,2023-06-05,2023-06-09,CASH,HOLD,180.9499969,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,2023-06-05,2023-06-09,CASH,SELL,180.9499969,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,2023-06-05,2023-06-09,LONG,BUY,180.9499969,100928.43770587542,100005.53180446062,100005.53180446062,0,0,0,0,True,0.026337389645440523,0.026337389645440523,0,-0.0091862256415866199,0,0
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,2023-06-05,2023-06-09,LONG,HOLD,180.9499969,100928.43770587542,100005.53180446062,100005.53180446062,0,0,0,0,True,0.026337389645440523,0.026337389645440523,0,-0.0091862256415866199,0,0
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,2023-06-05,2023-06-09,LONG,SELL,180.9499969,100928.43770587542,100827.53450027897,100005.53180446062,100877.97348702248,50.438986743511244,50.464218852931339,100.90320559644258,False,0,0.026337389645440523,0,-0.0010002500833645618,0.0081859755582218974,0.0081859755582218974
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,2023-06-12,2023-06-16,CASH,BUY,180.96000670000001,100000,101911.63039509922,100000,99950.024987506258,49.975012493753127,49.950037475004848,99.925049968757975,False,0.0058598802872391609,0,0.0058771167544706925,0.01893588310643594,0.01893588310643594,0.013058766351965248
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,2023-06-12,2023-06-16,CASH,HOLD,180.96000670000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,2023-06-12,2023-06-16,CASH,SELL,180.96000670000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,2023-06-12,2023-06-16,LONG,BUY,180.96000670000001,100171.30724387844,102188.32413427404,102188.32413427404,0,0,0,0,True,0.0058598802872390499,0.0058598802872390499,0,0.019935633189737914,0,0
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,2023-06-12,2023-06-16,LONG,HOLD,180.96000670000001,100171.30724387844,102188.32413427404,102188.32413427404,0,0,0,0,True,0.0058598802872390499,0.0058598802872390499,0,0.019935633189737914,0,0
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,2023-06-12,2023-06-16,LONG,SELL,180.96000670000001,100171.30724387844,100071.16097946138,102188.32413427404,100121.22159025651,50.060610795128255,50.085653621928408,100.14626441705667,False,0,0.0058598802872390499,0,-0.0010002500833645618,-0.020935883273102484,-0.020935883273102484
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,2023-06-20,2023-06-26,CASH,BUY,184.91999820000001,100000,100365.96141320186,100000,99950.024987506258,49.975012493753127,49.950037475002645,99.925049968755772,False,0.0092513139037432301,0,0.0092943730832953722,0.0036529340369739018,0.0036529340369739018,-0.0056414390463214708
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,2023-06-20,2023-06-26,CASH,HOLD,184.91999820000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,2023-06-20,2023-06-26,CASH,SELL,184.91999820000001,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,2023-06-20,2023-06-26,LONG,BUY,184.91999820000001,99724.20803322288,100189.27433668988,100189.27433668988,0,0,0,0,True,0.0092513139037432301,0.0092513139037432301,0,0.0046526841202755931,0,0
