experiment_id,run_id,symbol,series,metric,value
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,buy_decision_count,1.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,hold_decision_count,25.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,sell_decision_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,noop_rebalance_count,25.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,filled_order_count,1.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,rejected_order_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,risk_free_rate,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,same_stock_buy_and_hold,annualization_factor,252.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,cumulative_return,0.14927172718949722
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,annualized_return,0.3267667095583142
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,annualized_volatility,0.19276129671698233
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,sharpe_ratio,1.562879549625202
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,sortino_ratio,2.5245522465036587
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,maximum_drawdown,0.08135416370167725
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,calmar_ratio,4.016594783723127
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,turnover,3.016712278703963
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,total_commission_cost,157.48190506031642
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,total_slippage_cost,157.45698379502835
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,total_transaction_cost,314.93888885534477
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,commission_cost_rate,0.0015748190506031641
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,slippage_cost_rate,0.0015745698379502834
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,transaction_cost_rate,0.0031493888885534478
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,trade_count,3.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,average_exposure,0.72
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,time_in_market,0.72
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,decision_count,26.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,decision_failure_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,decision_failure_rate,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,cumulative_dividends,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,buy_decision_count,2.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,hold_decision_count,22.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,sell_decision_count,2.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,noop_rebalance_count,23.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,filled_order_count,3.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,rejected_order_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,risk_free_rate,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,annualization_factor,252.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,same_stock_buy_and_hold_cumulative_return,0.3615929018079702
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,spy_cumulative_return,0.1900101348956349
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,excess_return_vs_same_stock_buy_and_hold,-0.212321174618473
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,strategy,excess_return_vs_spy,-0.04073840770613768
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,cumulative_return,0.3615929018079702
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,annualized_return,0.8724863616212715
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,annualized_volatility,0.24672274554633106
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,sharpe_ratio,2.6664859598691377
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,sortino_ratio,4.857451490870816
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,maximum_drawdown,0.08135416370167725
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,calmar_ratio,10.724544656628112
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,turnover,0.830046977574194
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,total_commission_cost,49.97501249375312
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,total_slippage_cost,49.95003747500349
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,total_transaction_cost,99.92504996875661
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,commission_cost_rate,0.0004997501249375312
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,slippage_cost_rate,0.0004995003747500349
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,transaction_cost_rate,0.0009992504996875662
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,trade_count,1.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,average_exposure,0.992
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,time_in_market,0.992
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,decision_count,26.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,decision_failure_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,decision_failure_rate,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,cumulative_dividends,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,buy_decision_count,1.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,hold_decision_count,25.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,sell_decision_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,noop_rebalance_count,25.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,filled_order_count,1.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,rejected_order_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,risk_free_rate,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AMZN,same_stock_buy_and_hold,annualization_factor,252.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,cumulative_return,0.0869424633511986
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,annualized_return,0.1846254662330069
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,annualized_volatility,0.13260110162117422
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,sharpe_ratio,1.345213878828846
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,sortino_ratio,1.7140574548071446
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,maximum_drawdown,0.08167753143684298
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,calmar_ratio,2.2604192730257555
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,turnover,1.9258634699737807
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,total_commission_cost,104.01216878340682
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,total_slippage_cost,104.0142258588354
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,total_transaction_cost,208.02639464224222
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,commission_cost_rate,0.0010401216878340683
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,slippage_cost_rate,0.001040142258588354
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,transaction_cost_rate,0.0020802639464224224
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,JPM,strategy,trade_count,2.0
