Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-05,373.3900146,379.4599915,370.9500122,377.0899963,88065700,0,0
2022-10-06,375.6199951,378.7200012,372.6799927,373.2000122,82333500,0,0
2022-10-07,368.9700012,373.2900085,360.9400024,362.7900085,107789500,0,0
2022-10-10,363.9599915,364.2099915,357.6700134,360.019989,76042800,0,0
2022-10-11,358.2399902,363.0299988,355.7099915,357.7399902,92482800,0,0
2022-10-12,358.1700134,359.8200073,356.2999878,356.5599976,76991800,0,0
2022-10-13,349.2099915,367.5100098,348.1099854,365.9700012,147254500,0,0
2022-10-14,368.5499878,370.2600098,356.9599915,357.6300049,123737000,0,0
2022-10-17,364.0100098,367.980011,357.2799988,366.8200073,93168200,0,0
2022-10-18,375.1300049,375.4500122,367.519989,371.1300049,97162900,0,0
2022-10-19,368.9899902,371.8500061,365.5499878,368.5,79746900,0,0
2022-10-20,368.0299988,372.6700134,364.6099854,365.4100037,88283100,0,0
2022-10-21,365.1199951,374.7999878,363.5400085,374.2900085,131038400,0,0
2022-10-24,375.8900146,380.0599976,373.1099854,378.8699951,85436900,0,0
2022-10-25,378.7900085,385.25,378.6700134,384.9200134,78846300,0,0
2022-10-26,381.6199951,387.5799866,381.3500061,382.019989,104087300,0,0
2022-10-27,383.0700073,385,379.3299866,379.980011,81971800,0,0
2022-10-28,379.8699951,389.519989,379.6799927,389.019989,100302000,0,0
2022-10-31,386.4400024,388.3999939,385.2600098,386.2099915,96631300,0,0
2022-11-01,390.1400146,390.3900146,383.2900085,384.519989,85407600,0,0
2022-11-02,383.8999939,388.6300049,374.7600098,374.8699951,126990400,0,0
2022-11-03,371.4700012,374.2000122,368.7900085,371.0100098,87100100,0,0
2022-11-04,377,378.8699951,370,376.3500061,103505200,0,0
2022-11-07,377.7099915,380.5700073,375.5299988,379.9500122,68286900,0,0
2022-11-08,381.1099854,385.1199951,377.7200012,382,84641100,0,0
2022-11-09,379.9299927,381.1400146,373.6099854,374.1300049,78495500,0,0
2022-11-10,388.0499878,395.0400085,385.6400146,394.6900024,141455800,0,0
2022-11-11,395.5899963,399.3500061,393.6099854,398.5100098,93839900,0,0
2022-11-14,396.6600037,400.1799927,394.8299866,395.1199951,71903500,0,0
2022-11-15,401.1499939,402.3099976,394.4899902,398.4899902,93194500,0,0
2022-11-16,396.7799988,397.7799988,394.7900085,395.4500122,68508500,0,0
2022-11-17,390.4599915,394.9500122,390.1400146,394.2399902,74496300,0,0
2022-11-18,397.7399902,397.8099976,393.0400085,396.0299988,92922500,0,0
2022-11-21,394.6400146,395.8200073,392.6600037,394.5899963,51243200,0,0
2022-11-22,396.6300049,400.0700073,395.1499939,399.8999939,60429000,0,0
2022-11-23,399.5499878,402.9299927,399.3099976,402.4200134,68261600,0,0
2022-11-25,401.8299866,402.9100037,401.5400085,402.3299866,30545400,0,0
2022-11-28,399.0899963,400.8099976,395.1099854,395.9100037,67881600,0,0
2022-11-29,396.0499878,397.2999878,393.2999878,395.230011,52310000,0,0
2022-11-30,395.4899902,407.6799927,393.480011,407.6799927,144566700,0,0
2022-12-01,408.769989,410,404.75,407.3800049,76398200,0,0
2022-12-02,402.25,407.8599854,402.1400146,406.9100037,85342700,0,0
2022-12-05,403.9500122,404.9299927,398.1700134,399.5899963,77289800,0,0
2022-12-06,399.4200134,399.9899902,391.6400146,393.8299866,77972200,0,0
2022-12-07,392.9400024,395.6400146,391.9700012,393.1600037,65927900,0,0
2022-12-08,395.1400146,397.3599854,393.269989,396.2399902,60737900,0,0
2022-12-09,394.9400024,397.6199951,393.1499939,393.2799988,81447700,0,0
2022-12-12,394.1099854,398.9500122,393.4100037,398.9500122,75405800,0,0
2022-12-13,410.2200012,410.4899902,399.0700073,401.9700012,123782500,0,0
2022-12-14,401.6099854,405.5,396.3099976,399.3999939,108111300,0,0
2022-12-15,394.2999878,395.25,387.8900146,389.6300049,117705900,0,0
2022-12-16,385.1799927,386.5799866,381.0400085,383.269989,119858000,1.781,0
