Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-05,144.0700073,147.3800049,143.0099945,146.3999939,79471000,0,0
2022-10-06,145.8099976,147.5399933,145.2200012,145.4299927,68402200,0,0
2022-10-07,142.5399933,143.1000061,139.4499969,140.0899963,85925600,0,0
2022-10-10,140.4199982,141.8899994,138.5700073,140.4199982,74899000,0,0
2022-10-11,139.8999939,141.3500061,138.2200012,138.9799957,77033700,0,0
2022-10-12,139.1300049,140.3600006,138.1600037,138.3399963,70433700,0,0
2022-10-13,134.9900055,143.5899963,134.3699951,142.9900055,113224000,0,0
2022-10-14,144.3099976,144.5200043,138.1900024,138.3800049,88598000,0,0
2022-10-17,141.0700073,142.8999939,140.2700043,142.4100037,85250900,0,0
2022-10-18,145.4900055,146.6999969,140.6100006,143.75,99136600,0,0
2022-10-19,141.6900024,144.9499969,141.5,143.8600006,61758300,0,0
2022-10-20,143.0200043,145.8899994,142.6499939,143.3899994,64522000,0,0
2022-10-21,142.8699951,147.8500061,142.6499939,147.2700043,86548600,0,0
2022-10-24,147.1900024,150.2299957,146,149.4499969,75981900,0,0
2022-10-25,150.0899963,152.4900055,149.3600006,152.3399963,74732300,0,0
2022-10-26,150.9600067,151.9900055,148.0399933,149.3500061,88194300,0,0
2022-10-27,148.0700073,149.0500031,144.1300049,144.8000031,109180200,0,0
2022-10-28,148.1999969,157.5,147.8200073,155.7400055,164762400,0,0
2022-10-31,153.1600037,154.2400055,151.9199982,153.3399963,97943200,0,0
2022-11-01,155.0800018,155.4499969,149.1300049,150.6499939,80379300,0,0
2022-11-02,148.9499969,152.1699982,145,145.0299988,93604600,0,0
2022-11-03,142.0599976,142.8000031,138.75,138.8800049,97918500,0,0
2022-11-04,142.0899963,142.6699982,134.3800049,138.3800049,140814800,0.23,0
2022-11-07,137.1100006,139.1499939,135.6699982,138.9199982,83374600,0,0
2022-11-08,140.4100037,141.4299927,137.4900055,139.5,89908500,0,0
2022-11-09,138.5,138.5500031,134.5899963,134.8699951,74917800,0,0
2022-11-10,141.2400055,146.8699951,139.5,146.8699951,118854000,0,0
2022-11-11,145.8200073,150.0099945,144.3699951,149.6999969,93979700,0,0
2022-11-14,148.9700012,150.2799988,147.4299927,148.2799988,73374100,0,0
2022-11-15,152.2200012,153.5899963,148.5599976,150.0399933,89868300,0,0
2022-11-16,149.1300049,149.8699951,147.2899933,148.7899933,64218300,0,0
2022-11-17,146.4299927,151.4799957,146.1499939,150.7200012,80389400,0,0
2022-11-18,152.3099976,152.6999969,149.9700012,151.2899933,74829600,0,0
2022-11-21,150.1600037,150.3699951,147.7200012,148.0099945,58724100,0,0
2022-11-22,148.1300049,150.4199982,146.9299927,150.1799927,51804100,0,0
2022-11-23,149.4499969,151.8300018,149.3399963,151.0700073,58301400,0,0
2022-11-25,148.3099976,148.8800049,147.1199951,148.1100006,35195900,0,0
2022-11-28,145.1399994,146.6399994,143.3800049,144.2200012,69246000,0,0
2022-11-29,144.2899933,144.8099976,140.3500061,141.1699982,83763800,0,0
2022-11-30,141.3999939,148.7200012,140.5500031,148.0299988,111380900,0,0
2022-12-01,148.2100067,149.1300049,146.6100006,148.3099976,71250400,0,0
2022-12-02,145.9600067,148,145.6499939,147.8099976,65447400,0,0
2022-12-05,147.7700043,150.9199982,145.7700043,146.6300049,68826400,0,0
2022-12-06,147.0700073,147.3000031,141.9199982,142.9100037,64727200,0,0
2022-12-07,142.1900024,143.3699951,140,140.9400024,69721100,0,0
2022-12-08,142.3600006,143.5200043,141.1000061,142.6499939,62128300,0,0
2022-12-09,142.3399963,145.5700073,140.8999939,142.1600037,76097000,0,0
2022-12-12,142.6999969,144.5,141.0599976,144.4900055,70462700,0,0
2022-12-13,149.5,149.9700012,144.2400055,145.4700012,93886200,0,0
2022-12-14,145.3500061,146.6600037,141.1600037,143.2100067,82291200,0,0
2022-12-15,141.1100006,141.8000031,136.0299988,136.5,98931900,0,0
2022-12-16,136.6900024,137.6499939,133.7299957,134.5099945,160156900,0,0
2022-12-19,135.1100006,135.1999969,131.3200073,132.3699951,79592600,0,0
2022-12-20,131.3899994,133.25,129.8899994,132.3000031,77432800,0,0
2022-12-21,132.9799957,136.8099976,132.75,135.4499969,85928000,0,0
2022-12-22,134.3500061,134.5599976,130.3000031,132.2299957,77852100,0,0
2022-12-23,130.9199982,132.4199982,129.6399994,131.8600006,63814900,0,0
2022-12-27,131.3800049,131.4100037,128.7200012,130.0299988,69007800,0,0
2022-12-28,129.6699982,131.0299988,125.8700027,126.0400009,85438400,0,0
2022-12-29,127.9899979,130.4799957,127.7300034,129.6100006,75703700,0,0
2022-12-30,128.4100037,129.9499969,127.4300003,129.9299927,77034200,0,0
2023-01-03,130.2799988,130.8999939,124.1699982,125.0699997,112117500,0,0
2023-01-04,126.8899994,128.6600037,125.0800018,126.3600006,89113600,0,0
2023-01-05,127.1299973,127.7699966,124.7600021,125.0199966,80962700,0,0
2023-01-06,126.0100021,130.2899933,124.8899994,129.6199951,87754700,0,0
2023-01-09,130.4700012,133.4100037,129.8899994,130.1499939,70790800,0,0
2023-01-10,130.2599945,131.2599945,128.1199951,130.7299957,63896200,0,0
2023-01-11,131.25,133.5099945,130.4600067,133.4900055,69458900,0,0
2023-01-12,133.8800049,134.2599945,131.4400024,133.4100037,71379600,0,0
2023-01-13,132.0299988,134.9199982,131.6600037,134.7599945,57809700,0,0
2023-01-17,134.8300018,137.2899933,134.1300049,135.9400024,63646600,0,0
2023-01-18,136.8200073,138.6100006,135.0299988,135.2100067,69672800,0,0
2023-01-19,134.0800018,136.25,133.7700043,135.2700043,58280400,0,0
2023-01-20,135.2799988,138.0200043,134.2200012,137.8699951,80223600,0,0
2023-01-23,138.1199951,143.3200073,137.8999939,141.1100006,81760300,0,0
2023-01-24,140.3099976,143.1600037,140.3000031,142.5299988,66435100,0,0
2023-01-25,140.8899994,142.4299927,138.8099976,141.8600006,65799300,0,0
2023-01-26,143.1699982,144.25,141.8999939,143.9600067,54105100,0,0
2023-01-27,143.1600037,147.2299957,143.0800018,145.9299927,70555800,0,0
2023-01-30,144.9600067,145.5500031,142.8500061,143,64015300,0,0
2023-01-31,142.6999969,144.3399963,142.2799988,144.2899933,65874500,0,0
2023-02-01,143.9700012,146.6100006,141.3200073,145.4299927,77663600,0,0
2023-02-02,148.8999939,151.1799927,148.1699982,150.8200073,118339000,0,0
2023-02-03,148.0299988,157.3800049,147.8300018,154.5,154357300,0,0
2023-02-06,152.5700073,153.1000061,150.7799988,151.7299957,69858300,0,0
2023-02-07,150.6399994,155.2299957,150.6399994,154.6499939,83322600,0,0
2023-02-08,153.8800049,154.5800018,151.1699982,151.9199982,64120100,0,0
2023-02-09,153.7799988,154.3300018,150.4199982,150.8699951,56007100,0,0
2023-02-10,149.4600067,151.3399963,149.2200012,151.0099945,57450700,0.23,0
2023-02-13,150.9499969,154.2599945,150.9199982,153.8500061,62199000,0,0
2023-02-14,152.1199951,153.7700043,150.8600006,153.1999969,61707600,0,0
2023-02-15,153.1100006,155.5,152.8800049,155.3300018,65573800,0,0
2023-02-16,153.5099945,156.3300018,153.3500061,153.7100067,68167900,0,0
2023-02-17,152.3500061,153,150.8500061,152.5500031,59144100,0,0
2023-02-21,150.1999969,151.3000031,148.4100037,148.4799957,58867200,0,0
2023-02-22,148.8699951,149.9499969,147.1600037,148.9100037,51011300,0,0
2023-02-23,150.0899963,150.3399963,147.2400055,149.3999939,48394200,0,0
2023-02-24,147.1100006,147.1900024,145.7200012,146.7100067,55469600,0,0
