Date,Close,High,Low,Open,Volume
2021-08-18,137.28482055664062,139.42906213346512,137.07303812526223,137.92897360512268,8065500
2021-08-19,136.13763427734375,137.26711319275807,135.0169745771691,135.14934359246888,9517700
2021-08-20,136.52593994140625,136.6847666544991,135.1493879034477,136.1994538326342,6974100
2021-08-23,138.2730712890625,138.61720922433867,136.98476556806037,137.06417890748125,7934600
2021-08-24,139.1290283203125,139.9055503326464,138.42310044223206,138.53781759345077,7670900
2021-08-25,141.99685668945312,142.7557268411463,139.2437526342198,139.87025372820824,11335000
2021-08-26,142.72923278808594,144.56463968480463,142.1997835712516,143.1792551972781,11027500
2021-08-27,143.87635803222656,143.97342326928566,142.29684312594244,142.72922708456065,8780200
2021-08-30,141.57330322265625,144.26464578252833,141.07915772926103,144.0175730358307,7937600
2021-08-31,141.1409149169922,142.39393051292402,140.61147910341145,141.5732989428694,12340800
2021-09-01,140.93795776367188,141.8556545374964,140.27615293325061,141.37916098395274,8729900
2021-09-02,141.59097290039062,142.60573513284578,140.68208168979936,141.20271183127355,8813300
2021-09-03,140.7350311279297,141.9703949614903,140.43500265595986,141.5291916688678,7959700
2021-09-07,140.48793029785156,142.40275058960086,140.2673286956069,141.17620621969866,9285600
2021-09-08,139.86143493652344,140.81443560419146,139.45552200856193,140.20557294447673,7852700
2021-09-09,140.47027587890625,141.9174218250843,139.4908042439383,139.65846361294814,7904300
2021-09-10,138.85549926757812,141.820385900014,138.73196288557895,141.67919761645615,8311600
2021-09-13,141.06150817871094,141.22916757343177,139.482006417122,139.88790588012023,10052800
2021-09-14,138.599609375,142.367475815019,137.88484872788126,141.58213448951287,11685600
2021-09-15,139.56138610839844,140.02906037851577,138.0701172807047,138.29071885960727,11691500
2021-09-16,139.49960327148438,141.93505318133947,138.73191412917842,140.66438600479788,10880900
2021-09-17,139.13784790039062,140.31145013956012,138.53781795435447,138.87313672681844,25581600
2021-09-20,134.97288513183594,136.3847272540793,132.79334030701713,135.79351659818047,15819900
2021-09-21,134.99050903320312,136.3758933566516,134.63755190675133,135.47583518041282,8999900
2021-09-22,137.5759735107422,138.75839475605022,136.8612265410329,136.94945909495695,11236200
2021-09-23,142.2262725830078,142.693960413254,139.12903062880142,139.42022638825827,12336100
2021-09-24,143.86752319335938,144.3528493713746,141.90859351342442,142.45568113348585,10102400
2021-09-27,147.34422302246094,147.71483211012122,145.2529240762158,145.59706204793278,13220900
2021-09-28,146.55006408691406,149.3914139186296,146.1794549955321,147.97955822002362,13387900
2021-09-29,146.4353485107422,147.2736319500807,145.63235540524306,146.66478280628706,7777100
2021-09-30,144.4411163330078,147.35306035884318,143.64694243625956,147.2912854433882,13161200
2021-10-01,147.47657775878906,148.5089915737775,144.3616844167561,144.7146415713932,11285000
2021-10-04,147.31771850585938,150.3973211187617,146.24118182006316,147.33537040063734,14120000
2021-10-05,149.7234649658203,151.03729209525454,147.95689013320944,148.4362684606215,12292900
2021-10-06,150.04306030273438,150.11407982266005,147.36213099429037,149.1287059952723,8692600
2021-10-07,150.99285888671875,152.25342439767934,150.50460834306915,151.97823233096315,10195400
2021-10-08,151.1083221435547,152.1025683058946,150.2916180036915,150.93078012107802,8190100
2021-10-11,147.93031311035156,152.05822390960523,147.77052930704255,151.62324785909158,12154700
2021-10-12,146.79397583007812,147.97464984992072,146.2702221541923,147.14018749412315,13032600
2021-10-13,142.92347717285156,146.83834088548312,142.5683932068052,145.64879469908428,22753500
2021-10-14,145.1161651611328,145.59552990274406,142.0890247015042,143.5892796203178,15176800
2021-10-15,147.90367126464844,148.4007944536037,145.7109922703993,146.7851440894991,14267400
2021-10-18,147.85037231445312,149.67908081294712,147.28222973680852,147.7882251588793,12672900
2021-10-19,149.64358520507812,149.71459117839504,147.8770102294829,148.60493659348077,8053900
2021-10-20,151.65869140625,151.68532202969575,148.65819495147218,149.4038794991268,8185600
2021-10-21,150.4691619873047,152.09369792803645,149.74122207639823,151.58768893451537,8415200
2021-10-22,152.4931640625,152.76835622047847,150.64669728681417,150.93964771015538,8817900
2021-10-25,151.7475128173828,153.5407187367024,151.3391538978106,153.3187877804457,10159200
2021-10-26,152.15582275390625,153.12345179247123,151.39237990036722,151.8007387248317,8015100
2021-10-27,148.9866943359375,151.5344574331487,148.55170477604668,151.197131583494,9847000
2021-10-28,151.23255920410156,151.3657122960777,149.1020284589784,149.40385116451375,7212900
2021-10-29,150.8153839111328,152.9015400943602,150.37152204624095,151.96054156249457,8140100
2021-11-01,150.7354736328125,152.98141331145612,150.0341643863311,152.7239658757041,7435500
2021-11-02,151.33023071289062,152.4132544993455,149.95425653709114,150.73545757534345,7173800
2021-11-03,151.38351440429688,151.91615401764597,150.15845142094682,151.02843035912286,8402700
2021-11-04,149.39503479003906,151.09059052676537,147.79714276032698,150.91304847297408,9574200
2021-11-05,149.18199157714844,150.99294222102063,148.61384887067965,149.93654870143243,7975600
2021-11-08,150.07855224609375,151.72971871249374,149.7944877328828,150.06967988635157,6413700
2021-11-09,148.94229125976562,149.5548228210101,147.89478372561797,148.56057654512898,7990300
2021-11-10,148.8002471923828,149.98092137799472,148.3297546994323,148.6493357838505,6999200
2021-11-11,148.79136657714844,149.74122387123737,148.16107680416025,148.71147469687327,5815300
2021-11-12,148.12559509277344,148.9067963781285,147.11359049383185,148.82689094078785,8113400
