session,normalized_equity
2024-01-05,1.0
2024-01-08,1.0107021748783993
2024-01-09,1.012452710512995
2024-01-10,1.0204254192589544
2024-01-11,1.021224862279018
2024-01-12,1.0181377658765958
2024-01-16,1.008584743352568
2024-01-17,1.0018146242887342
2024-01-18,1.017396708148305
2024-01-19,1.0325250532496912
2024-01-22,1.035128111467933
2024-01-23,1.0381330682384424
2024-01-24,1.0417415039647957
2024-01-25,1.0478584337989705
2024-01-26,1.0464894001511584
2024-01-29,1.0509550069932978
2024-01-30,1.0459310261989863
2024-01-31,1.0269534564503406
2024-02-01,1.039491494698822
2024-02-02,1.0680148682086186
2024-02-05,1.0668765059664056
2024-02-06,1.07100063368068
2024-02-07,1.071840594782983
2024-02-08,1.0686276966520623
2024-02-09,1.0704423515027843
2024-02-12,1.063033024298722
2024-02-13,1.048053329926897
2024-02-14,1.0550122736865182
2024-02-15,1.0593133907527632
2024-02-16,1.0542131884014545
2024-02-20,1.0488380929354424
2024-02-21,1.0558227043360207
2024-02-22,1.0769815028010425
2024-02-23,1.0762833885329781
2024-02-26,1.0720033155048214
2024-02-27,1.07224164408134
2024-02-28,1.070991205606808
2024-02-29,1.0809567581880293
2024-03-01,1.0806924053289486
2024-03-04,1.0736327041426215
2024-03-05,1.0605154671244794
2024-03-06,1.0592386319718878
2024-03-07,1.0631049151407155
2024-03-08,1.0637045961932199
2024-03-11,1.060058621714945
2024-03-12,1.071500730917436
2024-03-13,1.0732215855630725
2024-03-14,1.0748695749095152
2024-03-15,1.069136638700073
2024-03-18,1.075849142762751
2024-03-19,1.0854838570780183
2024-03-20,1.100099036695659
2024-03-21,1.0920338171454091
2024-03-22,1.090562327481529
2024-03-25,1.0863151291888977
2024-03-26,1.0828825892343839
2024-03-27,1.1001768546174782
2024-03-28,1.0995530063124217
2024-04-01,1.0955696314083145
2024-04-02,1.0926210744203877
2024-04-03,1.096811241309678
2024-04-04,1.0870751264400307
2024-04-05,1.1031297839640826
2024-04-08,1.1033217747305606
2024-04-09,1.1040367063147916
2024-04-10,1.0979456184868208
2024-04-11,1.117981105794533
2024-04-12,1.0898346192503914
2024-04-15,1.0774341272747094
2024-04-16,1.0666735198168595
2024-04-17,1.0582574153459523
2024-04-18,1.0542240143385795
2024-04-19,1.0491795377758388
2024-04-22,1.06254967191366
2024-04-23,1.0729284380621176
2024-04-24,1.0682428192138715
2024-04-25,1.062365051120313
2024-04-26,1.075718229658891
2024-04-29,1.0781909230452589
2024-04-30,1.0565351774763603
2024-05-01,1.0637908658901838
2024-05-02,1.082526239207444
2024-05-03,1.1016465646851765
2024-05-06,1.1071076941107694
2024-05-07,1.1079600745136011
2024-05-08,1.1144271626825042
2024-05-09,1.1245095878914133
2024-05-10,1.1202974407773019
2024-05-13,1.1238496501312032
2024-05-14,1.1323405725564877
2024-05-15,1.135116544483133
2024-05-16,1.130818589568567
2024-05-17,1.1377215643733705
2024-05-20,1.119376278104933
2024-05-21,1.1284293800357847
2024-05-22,1.1235126654622354
2024-05-23,1.1092201833883024
2024-05-24,1.121304900277199
2024-05-28,1.1220672580869424
2024-05-29,1.1196132938564085
2024-05-30,1.1177660035772758
2024-05-31,1.1194784887923008
2024-06-03,1.1252064243301527
2024-06-04,1.1228207301949746
2024-06-05,1.1260731048393398
2024-06-06,1.1311733314136003
2024-06-07,1.139720060215503
2024-06-10,1.1385695223583596
2024-06-11,1.1532637285447604
2024-06-12,1.1573660354776103
2024-06-13,1.1567831297204025
2024-06-14,1.1535867849795511
2024-06-17,1.1640859302400317
2024-06-18,1.1610866990049733
2024-06-20,1.1635301381354968
2024-06-21,1.1616921617179476
2024-06-24,1.1600806332527427
2024-06-25,1.161833458770854
2024-06-26,1.1839203298539431
2024-06-27,1.198121943659091
2024-06-28,1.1878871206894221
2024-07-01,1.2134697650643391
2024-07-02,1.2323298080735963
2024-07-03,1.2289778861520897
2024-07-05,1.2373274215037526
