Date,Open,Close,Dividends,Stock Splits
2023-05-05,25,25.45000076,0,0
2023-05-08,25.39999962,25.79999924,0,0
2023-05-09,25.54999924,25.39999962,0,0
2023-05-10,25.54999924,25.5,0,0
2023-05-11,25.29999924,25.39999962,0,0
2023-05-12,25.04999924,24.60000038,0.4,0
2023-05-15,24.64999962,24.39999962,0,0
2023-05-16,24.25,23.79999924,0,0
2023-05-17,23.95000076,24.25,0,0
2023-05-18,24.04999924,24.5,0,0
2023-05-19,24.64999962,24.10000038,0,0
2023-05-22,24.20000076,24.10000038,0,0
2023-05-23,24.25,24.20000076,0,0
2023-05-24,24.14999962,23.70000076,0,0
2023-05-25,23.79999924,22.95000076,0,0
2023-05-26,22.79999924,23.89999962,0,0
2023-05-30,24.25,25.25,0,0
2023-05-31,25,25.10000038,0,0
2023-06-01,25.25,25.60000038,0,0
2023-06-02,25.64999962,25.75,0,0
2023-06-05,25.60000038,25.64999962,0,0
2023-06-06,25.5,25.29999924,0,0
2023-06-07,25.5,25.5,0,0
2023-06-08,25.70000076,25.5,0,0
2023-06-09,25.39999962,25.64999962,0,0
2023-06-12,25.64999962,26.10000038,0,0
2023-06-13,26.20000076,26.29999924,0,0
2023-06-14,25.95000076,25.64999962,0.4,0
2023-06-15,25.70000076,26.04999924,0,0
2023-06-16,26.25,26,0,0
2023-06-20,26,26.14999962,0,0
2023-06-21,26.04999924,26.25,0,0
2023-06-22,26.25,26.04999924,0,0
2023-06-23,26,25.45000076,0,0
2023-06-26,25.54999924,26,0,0
2023-06-30,26.89999962,26.64999962,0,0
2023-07-03,26.70000076,26.54999924,0,0
2023-07-05,26.60000038,25.89999962,0,0
2023-07-06,25.75,25.25,0,0
2023-07-07,25.25,25.85000038,0,0
2023-07-10,25.85000038,25.85000038,0,0
2023-07-11,26,25.54999924,0,0
2023-07-12,25.89999962,25.95000076,0,0
2023-07-13,26.04999924,26.20000076,0,0
2023-07-14,25.89999962,25.14999962,0.4,0
