Date,Open,Close,Dividends,Stock Splits
2023-05-05,114.2300034,116.3600006,0,0
2023-05-08,116.5199966,115.0800018,0,0
2023-05-09,114.8199997,114.75,0,0
2023-05-10,115.7799988,113.7200012,0,0
2023-05-11,113.6900024,112.75,0,0
2023-05-12,112.4899979,111.7900009,0,0
2023-05-15,111.5599976,110.8700027,0,0
2023-05-16,110.1299973,110.4100037,0,0
2023-05-17,110.2399979,112.3199997,0,0
2023-05-18,111.1200027,112.0400009,0,0
2023-05-19,112.7200012,112.1600037,0,0
2023-05-22,112.3099976,111.8899994,0,0
2023-05-23,111.3799973,113.6299973,0,0
2023-05-24,113.9199982,115.0899963,0,0
2023-05-25,115.1999969,116.3199997,0,0
2023-05-26,115.9800034,116.6999969,0,0
2023-05-30,116.9700012,115.5899963,0,0
2023-05-31,114.0599976,116.2300034,1.5,0
2023-06-01,115.9800034,114.2699966,0,0
2023-06-02,114.1500015,118.5,0,0
2023-06-05,117.7200012,117.3600006,0,0
2023-06-06,117.1800003,120.3600006,0,0
2023-06-07,119.9800034,122.4100037,0,0
2023-06-08,121.9700012,121.4599991,0,0
2023-06-09,121.1500015,122.3600006,0,0
2023-06-12,122.5,124.7699966,0,0
2023-06-13,125.5699997,124,0,0
2023-06-14,124.3000031,124.7399979,0,0
2023-06-15,124.2300034,122.9400024,0,0
2023-06-16,123.9499969,125.0199966,0,0
2023-06-20,124.9899979,124.7699966,0,0
2023-06-21,124.3000031,125.1999969,0,0
2023-06-22,125.3300018,125.8199997,0,0
2023-06-23,125.5599976,124.25,0,0
2023-06-26,124.4400024,124.8199997,0,0
2023-06-30,119.6699982,117.2699966,0,0
2023-07-03,117.6100006,118.3899994,0,0
2023-07-05,118.1299973,116.5899963,0,0
2023-07-06,116.5899963,114.1699982,0,0
2023-07-07,114.0999985,111.0299988,0,0
2023-07-10,111.3199997,111.6299973,0,0
2023-07-11,112.1299973,109.1999969,0,0
2023-07-12,109.3600006,109.7600021,0,0
2023-07-13,109.7799988,108.4700012,0,0
2023-07-14,108,109.1200027,0,0
