Date,Open,Close,Dividends,Stock Splits
2023-05-05,136.4400024,136.7400055,0,0
2023-05-08,137.4900055,137.0700073,0,0
2023-05-09,135.9299927,136.4100037,0,0
2023-05-10,137.9499969,136.4799957,0,0
2023-05-11,135,136.0500031,0,0
2023-05-12,136.8200073,134.1000061,0,0
2023-05-15,134.2700043,135.2299957,0,0
2023-05-16,135.4600067,134.3200073,0,0
2023-05-17,135.8999939,138.4499969,0,0
2023-05-18,138.2700043,139.5,0,0
2023-05-19,139.7899933,139.1799927,0,0
2023-05-22,141,138.0299988,0,0
2023-05-23,137.5399933,136.5899963,0,0
2023-05-24,135.3999939,135.3399963,0,0
2023-05-25,134.8200073,135.6699982,0,0
2023-05-26,136.1100006,136.9400024,0,0
2023-05-30,136.8000031,137.4600067,0,0
2023-05-31,136.7299957,135.7100067,0,0
2023-06-01,136.5200043,137.5800018,0,0
2023-06-02,139.5599976,140.4700012,0,0
2023-06-05,140.1100006,139.0899963,0,0
2023-06-06,138.6799927,139.3399963,0,0
2023-06-07,139.5500031,140.6900024,0,0
2023-06-08,140.6699982,140.7299957,0,0
2023-06-09,140.3500061,141.0099945,0,0
2023-06-12,141.0700073,141,0,0
2023-06-13,140.4799957,142.0200043,0,0
2023-06-14,143,141.4900055,0,0
2023-06-15,140.5899963,143.0899963,0,0
2023-06-16,143.0500031,143.2599945,0,0
2023-06-20,142.6100006,142.5299988,0,0
2023-06-21,142.8999939,142.3200073,0,0
2023-06-22,142.3099976,139.5800018,0,0
2023-06-23,138.5399933,138.8500061,0,0
2023-06-26,138.8699951,139.1900024,0,0
2023-06-30,144.6000061,145.4400024,0,0
2023-07-03,146.1900024,146.6100006,0,0
2023-07-05,144.9400024,144.6399994,1,0
2023-07-06,143.0200043,143.2100067,0,0
2023-07-07,143.9100037,144.3399963,0,0
2023-07-10,144.5,145.1499939,0,0
2023-07-11,146.3399963,147.4199982,0,0
2023-07-12,147.4499969,148.1499939,0,0
2023-07-13,148.6999969,148.8699951,0,0
2023-07-14,151.5500031,149.7700043,0,0
