Date,Open,Close,Dividends,Stock Splits
2023-05-05,16.85000038,17.10000038,0,0
2023-05-08,17,16.75,0,0
2023-05-09,16.75,16.70000076,0,0
2023-05-10,16.20999908,16.70999908,0,0
2023-05-11,16.86000061,16.79999924,0,0
2023-05-12,16.39999962,16.52000046,0.11,0
2023-05-15,16.72999954,16.75,0,0
2023-05-16,16.75,16.75,0,0
2023-05-17,16.96999931,16.82999992,0,0
2023-05-18,16.88999939,16.78000069,0,0
2023-05-19,17,16.65999985,0,0
2023-05-22,16.95999908,17.40999985,0,0
2023-05-23,17.96999931,17.40999985,0,0
2023-05-24,17.15999985,16.92000008,0,0
2023-05-25,16.75,16.64999962,0,0
2023-05-26,16.60000038,16.51000023,0,0
2023-05-30,16.55999947,16.54999924,0,0
2023-05-31,16.39999962,16.29000092,0,0
2023-06-01,16.20999908,16.31999969,0,0
2023-06-02,16.23999977,16.35000038,0,0
2023-06-05,16.35000038,16.48999977,0,0
2023-06-06,16.29999924,16.48999977,0,0
2023-06-07,16.34000015,16.81999969,0,0
2023-06-08,17.07999992,17.09000015,0,0
2023-06-09,16.96999931,17.14999962,0,0
2023-06-12,17.02000046,17.02000046,0,0
2023-06-13,17.45000076,17.54000092,0,0
2023-06-14,17.81999969,18.25,0,0
2023-06-15,18.37000084,19,0,0
2023-06-16,19,19.67000008,0,0
2023-06-20,19.57999992,18.37999916,0,0
2023-06-21,17.88999939,18.5,0,0
2023-06-22,18.14999962,18.37999916,0,0
2023-06-23,18.79999924,17.89999962,0,0
2023-06-26,18,17.63999939,0,0
2023-06-30,17.80999947,18.09000015,0,0
2023-07-03,17.70999908,17.71999931,0,0
2023-07-05,17.65999985,18.01000023,0,0
2023-07-06,18,18.07999992,0,0
2023-07-07,18.01000023,18.01000023,0,0
2023-07-10,18.04000092,18.04999924,0,0
2023-07-11,18.29999924,18.01000023,0,0
2023-07-12,18.11000061,18.29999924,0,0
2023-07-13,18.12000084,18.20000076,0,0
2023-07-14,18.45999908,17.89999962,0,0
