Date,Open,Close,Dividends,Stock Splits
2023-05-05,13.35999966,13.81000042,0,0
2023-05-08,13.89000034,13.81999969,0,0
2023-05-09,13.77999973,13.73999977,0,0
2023-05-10,13.77000046,13.61999989,0,0
2023-05-11,13.43000031,13.25,0,0
2023-05-12,13.27000046,13.31000042,0,0
2023-05-15,13.40999985,13.56999969,0,0
2023-05-16,13.52000046,13.06999969,0,0
2023-05-17,13.02999973,12.85999966,0,0
2023-05-18,12.65999985,12.65999985,0,0
2023-05-19,12.69999981,12.71000004,0,0
2023-05-22,12.64999962,12.64999962,0,0
2023-05-23,12.56999969,12.86999989,0,0
2023-05-24,12.93000031,12.47999954,0,0
2023-05-25,12.44999981,12.31999969,0,0
2023-05-26,12.42000008,12.38000011,0,0
2023-05-30,12.39999962,12.10999966,0,0
2023-05-31,12.18000031,12.34000015,0,0
2023-06-01,12.40999985,12.56000042,0,0
2023-06-02,12.57999992,12.27999973,0,0
2023-06-05,12.18999958,12.35000038,0,0
2023-06-06,12.32999992,12.57999992,0,0
2023-06-07,12.63000011,12.26000023,0,0
2023-06-08,12.47000027,12.44999981,0,0
2023-06-09,12.40999985,12.35999966,0,0
2023-06-12,12.32999992,12.56999969,0,0
2023-06-13,12.64999962,12.39000034,0,0
2023-06-14,12.51000023,12.31000042,0.025,0
2023-06-15,12.26000023,12.14000034,0,0
2023-06-16,12.21000004,12.23999977,0,0
2023-06-20,12.10999966,11.68000031,0,0
2023-06-21,11.67000008,11.73999977,0,0
2023-06-22,11.64000034,11.68000031,0,0
2023-06-23,11.75,11.72000027,0,0
2023-06-26,11.80000019,11.61999989,0,0
2023-06-30,11.81000042,11.92000008,0,0
2023-07-03,11.89999962,12.14999962,0,0
2023-07-05,12.11999989,11.69999981,0,0
2023-07-06,11.64999962,11.55000019,0,0
2023-07-07,11.65999985,11.60999966,0,0
2023-07-10,11.52000046,11.97999954,0,0
2023-07-11,12.02000046,11.93000031,0,0
2023-07-12,12.11999989,12.68999958,0,0
2023-07-13,12.77999973,12.67000008,0,0
2023-07-14,12.68000031,12.69999981,0,0
