Date,Open,Close,Dividends,Stock Splits
2023-05-05,104.2699966,105.6600037,0,0
2023-05-08,105.0400009,105.8300018,0,0
2023-05-09,105.4800034,106.6200027,0,0
2023-05-10,108.0999985,110.1900024,0,0
2023-05-11,111.0299988,112.1800003,0,0
2023-05-12,112.1600037,110.2600021,0,0
2023-05-15,111.1500015,111.1999969,0,0
2023-05-16,111.0500031,113.4000015,0,0
2023-05-17,114.8899994,115.5,0,0
2023-05-18,116.6900024,118.1500015,0,0
2023-05-19,118.1600037,116.25,0,0
2023-05-22,116.7699966,115.0100021,0,0
2023-05-23,114.2699966,114.9899979,0,0
2023-05-24,115.3499985,116.75,0,0
2023-05-25,116.6299973,115,0,0
2023-05-26,116.0400009,120.1100006,0,0
2023-05-30,122.3700027,121.6600037,0,0
2023-05-31,121.4499969,120.5800018,0,0
2023-06-01,120.6900024,122.7699966,0,0
2023-06-02,124.9199982,124.25,0,0
2023-06-05,123.3600006,125.3000031,0,0
2023-06-06,125.0699997,126.6100006,0,0
2023-06-07,127.0100021,121.2300034,0,0
2023-06-08,123.0100021,124.25,0,0
2023-06-09,124.0800018,123.4300003,0,0
2023-06-12,124.0199966,126.5699997,0,0
2023-06-13,128.1199951,126.6600037,0,0
2023-06-14,126.6999969,126.4199982,0,0
2023-06-15,125.2099991,127.1100006,0,0
2023-06-16,127.7099991,125.4899979,0,0
2023-06-20,124.9700012,125.7799988,0,0
2023-06-21,125.6399994,124.8300018,0,0
2023-06-22,125.3099976,130.1499939,0,0
2023-06-23,129.1100006,129.3300018,0,0
2023-06-26,129.3300018,127.3300018,0,0
2023-06-30,129.4700012,130.3600006,0,0
2023-07-03,130.8200073,130.2200012,0,0
2023-07-05,130.2400055,130.3800049,0,0
2023-07-06,128.25,128.3600006,0,0
2023-07-07,128.5899963,129.7799988,0,0
2023-07-10,129.0700073,127.1299973,0,0
2023-07-11,127.75,128.7799988,0,0
2023-07-12,130.3099976,130.8000031,0,0
2023-07-13,134.0399933,134.3000031,0,0
2023-07-14,134.0599976,134.6799927,0,0
