Date,Open,Close,Dividends,Stock Splits
2023-05-05,170.9799957,173.5700073,0,0
2023-05-08,172.4799957,173.5,0,0
2023-05-09,173.0500031,171.7700043,0,0
2023-05-10,173.0200043,173.5599976,0,0
2023-05-11,173.8500061,173.75,0,0
2023-05-12,173.6199951,172.5700073,0.24,0
2023-05-15,173.1600037,172.0700073,0,0
2023-05-16,171.9900055,172.0700073,0,0
2023-05-17,171.7100067,172.6900024,0,0
2023-05-18,173,175.0500031,0,0
2023-05-19,176.3899994,175.1600037,0,0
2023-05-22,173.9799957,174.1999969,0,0
2023-05-23,173.1300049,171.5599976,0,0
2023-05-24,171.0899963,171.8399963,0,0
2023-05-25,172.4100037,172.9900055,0,0
2023-05-26,173.3200073,175.4299927,0,0
2023-05-30,176.9600067,177.3000031,0,0
2023-05-31,177.3300018,177.25,0,0
2023-06-01,177.6999969,180.0899963,0,0
2023-06-02,181.0299988,180.9499969,0,0
2023-06-05,182.6300049,179.5800018,0,0
2023-06-06,179.9700012,179.2100067,0,0
2023-06-07,178.4400024,177.8200073,0,0
2023-06-08,177.8999939,180.5700073,0,0
2023-06-09,181.5,180.9600067,0,0
2023-06-12,181.2700043,183.7899933,0,0
2023-06-13,182.8000031,183.3099976,0,0
2023-06-14,183.3699951,183.9499969,0,0
2023-06-15,183.9600067,186.0099945,0,0
2023-06-16,186.7299957,184.9199982,0,0
2023-06-20,184.4100037,185.0099945,0,0
2023-06-21,184.8999939,183.9600067,0,0
2023-06-22,183.7400055,187,0,0
2023-06-23,185.5500031,186.6799927,0,0
2023-06-26,186.8300018,185.2700043,0,0
2023-06-30,191.6300049,193.9700012,0,0
2023-07-03,193.7799988,192.4600067,0,0
2023-07-05,191.5700073,191.3300018,0,0
2023-07-06,189.8399963,191.8099976,0,0
2023-07-07,191.4100037,190.6799927,0,0
2023-07-10,189.2599945,188.6100006,0,0
2023-07-11,189.1600037,188.0800018,0,0
2023-07-12,189.6799927,189.7700043,0,0
2023-07-13,190.5,190.5399933,0,0
2023-07-14,190.2299957,190.6900024,0,0
