system,annualized_return,volatility,sortino,average_exposure,time_in_market,turnover,trade_count,commission_cost,slippage_cost,total_cost,buy,hold,sell,no_op,failure_rate,model_failure_rate
M0,0.30270445659315715,0.09652554256556926,4.753910909463398,0.4665569469288662,0.4666666666666666,1.9835166502092085,6,311.46908633747637,311.4212471288781,622.8903334663545,5,65,8,72,0.0,
M1,0.3614244895920886,0.09389212570791425,6.29394578780447,0.4051760968310578,0.4053333333333333,1.3200121394086388,4,206.37423456167997,206.32754822334675,412.7017827850267,8,65,5,74,0.0,
M2,0.03920773902074459,0.060006078187110755,0.9650288162470214,0.2773333333333333,0.2773333333333333,1.6637227739513551,5,248.96503046857788,248.93991578463374,497.9049462532116,6,65,7,73,0.0,
A1,0.3478267992519164,0.1073184473737678,4.633827460987538,0.59898912248714,0.6,0.6188200485417483,2,99.95002498750625,99.9000749500253,199.85009993753155,8,64,6,76,0.0,
A2,0.26020745599763373,0.091582071988534,4.592006218877395,0.33066666666666666,0.33066666666666666,0.31193937779170794,1,49.97501249375312,49.95003747500349,99.92504996875661,6,66,6,77,0.0,
"ARMA(1,1)",0.5415323782210444,0.13979096511888317,5.439824001844986,0.964016935656851,0.9653333333333333,2.1758782680605133,7,356.46509307183334,356.39023836779234,712.8553314396256,5,71,2,71,0.0,0.0
Equal-weight B&H,0.6242738335949538,0.1411829969668058,6.11624469267813,0.9905113621537996,0.992,0.9061933475546892,3,149.92503748125938,149.85011242502767,299.775149906287,3,75,0,75,0.0,
SPY,0.4240932841095133,0.10536971485879763,5.6112885827799,0.9898747732772204,0.992,0.9114331616244024,1,49.97501249375313,49.950037475010596,99.92504996876372,1,25,0,25,0.0,
