system,cumulative_return,average_exposure,time_in_market,turnover,trade_count,total_cost
M0,0.13896787299155555,0.4665569469288662,0.4666666666666666,1.9835166502092085,6,622.8903334663545
M1,0.16394735653904102,0.4051760968310578,0.4053333333333333,1.3200121394086388,4,412.7017827850267
M2,0.019104284935757443,0.2773333333333333,0.2773333333333333,1.6637227739513551,5,497.9049462532116
A1,0.15821237721683334,0.59898912248714,0.6,0.6188200485417483,2,199.85009993753155
A2,0.12053096726932355,0.33066666666666666,0.33066666666666666,0.31193937779170794,1,99.92504996875661
ARMA,0.23732742150375263,0.964016935656851,0.9653333333333333,2.1758782680605133,7,712.8553314396256
