system,cumulative_return,excess_vs_stock_bh,sharpe,maximum_drawdown,calmar,average_exposure,turnover,trade_count,total_cost
M0,0.18068942843397107,-0.06376848203528795,2.4051774116743196,0.04236854560512937,9.476766074128921,0.216,0.9834213908153207,1,99.9250499687675
M1,0.29085068064816744,0.046392770178908416,2.82886433216841,0.060018686681325484,11.331053831552325,0.4556213627327146,0.9587305999274173,1,99.9250499687671
M2,0.0,-0.24445791046925902,,-0.0,,0.0,0.0,0,0.0
A1,0.0,-0.24445791046925902,,-0.0,,0.0,0.0,0,0.0
A2,0.0,-0.24445791046925902,,-0.0,,0.0,0.0,0,0.0
"ARMA(1,1)",0.18620107138523534,-0.05825683908402368,1.5559903211652228,0.1723256025984471,2.4073316659387656,0.951083439509133,2.8183070229598766,3,281.49369325148336
AAPL B&H,0.24445791046925902,0.0,1.9401485738253195,0.1533968327687104,3.6483137747224452,0.9905667189999791,0.9812328289712602,1,99.92504996875907
SPY,0.1900101348956349,-0.054447775573624124,3.409774618680459,0.05337623529148017,7.945357738206884,0.9898747732772204,0.9114331616244024,1,99.92504996876372
