symbol,buy_count,hold_count,sell_count,failed_count,no_op_count,actual_trades,time_in_market
AAPL,0,20,6,0,26,0,0.0
AMZN,5,21,0,0,25,1,0.92
JPM,3,23,0,0,25,1,0.88
