session,symbol,series,drawdown
2024-02-05,AAPL,same_stock_buy_and_hold,-0.038426069681885
2024-02-06,AAPL,same_stock_buy_and_hold,-0.030125985346447948
2024-02-07,AAPL,same_stock_buy_and_hold,-0.029562399917028137
2024-02-08,AAPL,same_stock_buy_and_hold,-0.035146970266281996
2024-02-09,AAPL,same_stock_buy_and_hold,-0.031201899927112864
2024-02-12,AAPL,same_stock_buy_and_hold,-0.039911871561413514
2024-02-13,AAPL,same_stock_buy_and_hold,-0.05072240890600277
2024-02-14,AAPL,same_stock_buy_and_hold,-0.0552822994341674
2024-02-15,AAPL,same_stock_buy_and_hold,-0.05676807313457799
2024-02-16,AAPL,same_stock_buy_and_hold,-0.06470947623926215
2024-02-20,AAPL,same_stock_buy_and_hold,-0.06855208320745065
2024-02-21,AAPL,same_stock_buy_and_hold,-0.06465819178196963
2024-02-22,AAPL,same_stock_buy_and_hold,-0.05415512857532767
2024-02-23,AAPL,same_stock_buy_and_hold,-0.0636335119608804
2024-02-26,AAPL,same_stock_buy_and_hold,-0.07060144233728116
2024-02-27,AAPL,same_stock_buy_and_hold,-0.0630699265314606
2024-02-28,AAPL,same_stock_buy_and_hold,-0.0692693667674269
2024-02-29,AAPL,same_stock_buy_and_hold,-0.07270208643675191
2024-03-01,AAPL,same_stock_buy_and_hold,-0.07828665627365816
2024-03-04,AAPL,same_stock_buy_and_hold,-0.10164969434390192
2024-03-05,AAPL,same_stock_buy_and_hold,-0.12716466097090906
2024-03-06,AAPL,same_stock_buy_and_hold,-0.13228813692849362
2024-03-07,AAPL,same_stock_buy_and_hold,-0.13290292893837174
2024-03-08,AAPL,same_stock_buy_and_hold,-0.12403933756269692
2024-03-11,AAPL,same_stock_buy_and_hold,-0.11368989409742936
2024-03-12,AAPL,same_stock_buy_and_hold,-0.11123064766873525
2024-03-13,AAPL,same_stock_buy_and_hold,-0.12198990004368426
2024-03-14,AAPL,same_stock_buy_and_hold,-0.11240902510803308
2024-03-15,AAPL,same_stock_buy_and_hold,-0.1143559710769474
2024-03-18,AAPL,same_stock_buy_and_hold,-0.1087201162704009
2024-03-19,AAPL,same_stock_buy_and_hold,-0.09662870993641559
2024-03-20,AAPL,same_stock_buy_and_hold,-0.08335892565078473
2024-03-21,AAPL,same_stock_buy_and_hold,-0.12076031602392823
2024-03-22,AAPL,same_stock_buy_and_hold,-0.11609793394566525
2024-03-25,AAPL,same_stock_buy_and_hold,-0.12342446716363686
2024-03-26,AAPL,same_stock_buy_and_hold,-0.12926522668119766
2024-03-27,AAPL,same_stock_buy_and_hold,-0.11082075985752415
2024-03-28,AAPL,same_stock_buy_and_hold,-0.12019673059450842
2024-04-01,AAPL,same_stock_buy_and_hold,-0.12762575485023075
2024-04-02,AAPL,same_stock_buy_and_hold,-0.13372270404844633
2024-04-03,AAPL,same_stock_buy_and_hold,-0.12957270081914507
2024-04-04,AAPL,same_stock_buy_and_hold,-0.13382511720936263
2024-04-05,AAPL,same_stock_buy_and_hold,-0.12993130366071592
2024-04-08,AAPL,same_stock_buy_and_hold,-0.13572085659781874
2024-04-09,AAPL,same_stock_buy_and_hold,-0.12947020926904662
2024-04-10,AAPL,same_stock_buy_and_hold,-0.13915357575479614
2024-04-11,AAPL,same_stock_buy_and_hold,-0.10195716848184933
2024-04-12,AAPL,same_stock_buy_and_hold,-0.09422066957583208
2024-04-15,AAPL,same_stock_buy_and_hold,-0.113997290358542
2024-04-16,AAPL,same_stock_buy_and_hold,-0.13095598296945743
2024-04-17,AAPL,same_stock_buy_and_hold,-0.1380264048959564
2024-04-18,AAPL,same_stock_buy_and_hold,-0.14294497614252666
2024-04-19,AAPL,same_stock_buy_and_hold,-0.1533968327687104
2024-04-22,AAPL,same_stock_buy_and_hold,-0.14909313192120033
2024-04-23,AAPL,same_stock_buy_and_hold,-0.1436622597025029
2024-04-24,AAPL,same_stock_buy_and_hold,-0.1328004373882734
2024-04-25,AAPL,same_stock_buy_and_hold,-0.128343038410207
2024-04-26,AAPL,same_stock_buy_and_hold,-0.13136587026832092
2024-04-29,AAPL,same_stock_buy_and_hold,-0.10984728712924074
2024-04-30,AAPL,same_stock_buy_and_hold,-0.12608869669252754
2024-05-01,AAPL,same_stock_buy_and_hold,-0.13136587026832092
2024-05-02,AAPL,same_stock_buy_and_hold,-0.11225532697747675
2024-05-03,AAPL,same_stock_buy_and_hold,-0.05922731956327221
2024-05-06,AAPL,same_stock_buy_and_hold,-0.06778351519018178
2024-05-07,AAPL,same_stock_buy_and_hold,-0.06424838235994057
2024-05-08,AAPL,same_stock_buy_and_hold,-0.06250634110204067
2024-05-09,AAPL,same_stock_buy_and_hold,-0.05313037087740413
2024-05-10,AAPL,same_stock_buy_and_hold,-0.05963720686213558
2024-05-13,AAPL,same_stock_buy_and_hold,-0.043088401550083755
2024-05-14,AAPL,same_stock_buy_and_hold,-0.03719643545206475
2024-05-15,AAPL,same_stock_buy_and_hold,-0.02546363195965018
2024-05-16,AAPL,same_stock_buy_and_hold,-0.024848839949772272
2024-05-17,AAPL,same_stock_buy_and_hold,-0.024695141819215838
2024-05-20,AAPL,same_stock_buy_and_hold,-0.018700684171098603
2024-05-21,AAPL,same_stock_buy_and_hold,-0.011988865086170364
2024-05-22,AAPL,same_stock_buy_and_hold,-0.019417967731074848
2024-05-23,AAPL,same_stock_buy_and_hold,-0.04001428472232971
2024-05-24,AAPL,same_stock_buy_and_hold,-0.024131556389796027
2024-05-28,AAPL,same_stock_buy_and_hold,-0.024080271420155785
2024-05-29,AAPL,same_stock_buy_and_hold,-0.022543291139287103
2024-05-30,AAPL,same_stock_buy_and_hold,-0.017419815181702325
2024-05-31,AAPL,same_stock_buy_and_hold,-0.012501243935132189
2024-06-03,AAPL,same_stock_buy_and_hold,-0.003381462878802699
2024-06-04,AAPL,same_stock_buy_and_hold,-0.0017419131710010305
2024-06-05,AAPL,same_stock_buy_and_hold,0.0
2024-06-06,AAPL,same_stock_buy_and_hold,-0.007078831914271166
2024-06-07,AAPL,same_stock_buy_and_hold,0.0
2024-06-10,AAPL,same_stock_buy_and_hold,-0.01910023463096633
2024-06-11,AAPL,same_stock_buy_and_hold,0.0
2024-06-12,AAPL,same_stock_buy_and_hold,0.0
2024-06-13,AAPL,same_stock_buy_and_hold,0.0
2024-06-14,AAPL,same_stock_buy_and_hold,-0.00814976926920441
2024-06-17,AAPL,same_stock_buy_and_hold,0.0
2024-06-18,AAPL,same_stock_buy_and_hold,-0.0109596837342395
2024-06-20,AAPL,same_stock_buy_and_hold,-0.032188273889937724
2024-06-21,AAPL,same_stock_buy_and_hold,-0.04227294518369551
2024-06-24,AAPL,same_stock_buy_and_hold,-0.03927978850020086
2024-06-25,AAPL,same_stock_buy_and_hold,-0.03499719544573121
2024-06-26,AAPL,same_stock_buy_and_hold,-0.015748748518823685
2024-06-27,AAPL,same_stock_buy_and_hold,-0.011834555725281803
2024-06-28,AAPL,same_stock_buy_and_hold,-0.02785965716590255
2024-07-01,AAPL,same_stock_buy_and_hold,0.0
2024-07-02,AAPL,same_stock_buy_and_hold,0.0
2024-07-03,AAPL,same_stock_buy_and_hold,0.0
2024-07-05,AAPL,same_stock_buy_and_hold,0.0
2024-01-05,AMZN,strategy,0.0
2024-01-08,AMZN,strategy,0.0
2024-01-09,AMZN,strategy,0.0
2024-01-10,AMZN,strategy,0.0
2024-01-11,AMZN,strategy,0.0
2024-01-12,AMZN,strategy,0.0
2024-01-16,AMZN,strategy,0.0
2024-01-17,AMZN,strategy,0.0
2024-01-18,AMZN,strategy,0.0
2024-01-19,AMZN,strategy,0.0
2024-01-22,AMZN,strategy,-0.014434728789619378
2024-01-23,AMZN,strategy,-0.006538964696165439
2024-01-24,AMZN,strategy,-0.0011266283489427265
2024-01-25,AMZN,strategy,0.0
2024-01-26,AMZN,strategy,0.0
2024-01-29,AMZN,strategy,0.0
2024-01-30,AMZN,strategy,-0.014014601122909087
2024-01-31,AMZN,strategy,-0.03757905126308314
2024-02-01,AMZN,strategy,-0.012278282075719793
2024-02-02,AMZN,strategy,0.0
2024-02-05,AMZN,strategy,-0.008730574593756923
2024-02-06,AMZN,strategy,-0.015482240481679677
2024-02-07,AMZN,strategy,-0.007450083335546309
2024-02-08,AMZN,strategy,-0.011466162199632146
2024-02-09,AMZN,strategy,0.0
2024-02-12,AMZN,strategy,-0.012095159859529914
2024-02-13,AMZN,strategy,-0.03330465808681249
2024-02-14,AMZN,strategy,-0.019891093503367152
2024-02-15,AMZN,strategy,-0.02665516699702497
2024-02-16,AMZN,strategy,-0.0283175837648868
2024-02-20,AMZN,strategy,-0.04224703485792958
