symbol,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,turnover,total_commission_cost,total_slippage_cost,total_transaction_cost,commission_cost_rate,slippage_cost_rate,transaction_cost_rate,trade_count,average_exposure,time_in_market,decision_count,decision_failure_count,decision_failure_rate,cumulative_dividends,buy_decision_count,hold_decision_count,sell_decision_count,noop_rebalance_count,filled_order_count,rejected_order_count,risk_free_rate,annualization_factor,same_stock_buy_and_hold_cumulative_return,spy_cumulative_return,excess_return_vs_same_stock_buy_and_hold,excess_return_vs_spy
AAPL,0.0,0.0,0.0,,,-0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26,0,0.0,0.0,0,20,6,26,0,0,0.0,252,0.24445791046925902,0.1900101348956349,-0.24445791046925902,-0.1900101348956349
AMZN,0.2735046890443322,0.6345123682734435,0.24356835208568928,2.1385516087498964,3.8451657565526185,0.08135416370167725,7.799384068407084,0.8856237513199433,49.97501249375312,49.950037475013545,99.92504996876667,0.0004997501249375312,0.0004995003747501355,0.0009992504996876668,1,0.92,0.92,26,0,0.0,0.0,5,21,0,25,1,0,0.0,252,0.3615929018079702,0.1900101348956349,-0.08808821276363799,0.08349455414869733
JPM,0.20113244260616736,0.45127342638250445,0.18500577668963616,2.107596248933378,2.852531738647929,0.09520719423293911,4.739908890481472,0.9071860921963669,49.97501249375313,49.950037475011754,99.92504996876488,0.0004997501249375312,0.0004995003747501175,0.0009992504996876488,1,0.87696736746142,0.88,26,0,0.0,1334.011641012586,3,23,0,25,1,0,0.0,252,0.2026686045183097,0.1900101348956349,-0.001536161912142342,0.011122307710532464
