account_symbol,order_id,symbol,created_at,intended_execution_session,target_weight,current_weight,side,status,reason
AMZN,33043294b9c0193b9c01306f24f63424,AMZN,2024-01-19T21:00:00+00:00,2024-01-22,1.0,0.0,BUY,filled,target weight changed
JPM,353157ba6e1ed9bc3a20a42337f632da,JPM,2024-01-26T21:00:00+00:00,2024-01-29,1.0,0.0,BUY,filled,target weight changed
