session,symbol,series,equity,normalized_equity
2024-01-05,AAPL,strategy,100000.0,1.0
2024-01-08,AAPL,strategy,100000.0,1.0
2024-01-09,AAPL,strategy,100000.0,1.0
2024-01-10,AAPL,strategy,100000.0,1.0
2024-01-11,AAPL,strategy,100000.0,1.0
2024-01-12,AAPL,strategy,100000.0,1.0
2024-01-16,AAPL,strategy,100000.0,1.0
2024-01-17,AAPL,strategy,100000.0,1.0
2024-01-18,AAPL,strategy,100000.0,1.0
2024-01-19,AAPL,strategy,100000.0,1.0
2024-01-22,AAPL,strategy,100000.0,1.0
2024-01-23,AAPL,strategy,100000.0,1.0
2024-01-24,AAPL,strategy,100000.0,1.0
2024-01-25,AAPL,strategy,100000.0,1.0
2024-01-26,AAPL,strategy,100000.0,1.0
2024-01-29,AAPL,strategy,100000.0,1.0
2024-01-30,AAPL,strategy,100000.0,1.0
2024-01-31,AAPL,strategy,100000.0,1.0
2024-02-01,AAPL,strategy,100000.0,1.0
2024-02-02,AAPL,strategy,100000.0,1.0
2024-02-05,AAPL,strategy,100000.0,1.0
2024-02-06,AAPL,strategy,100000.0,1.0
2024-02-07,AAPL,strategy,100000.0,1.0
2024-02-08,AAPL,strategy,100000.0,1.0
2024-02-09,AAPL,strategy,100000.0,1.0
2024-02-12,AAPL,strategy,100000.0,1.0
2024-02-13,AAPL,strategy,100000.0,1.0
2024-02-14,AAPL,strategy,100000.0,1.0
2024-02-15,AAPL,strategy,100000.0,1.0
2024-02-16,AAPL,strategy,100000.0,1.0
2024-02-20,AAPL,strategy,100000.0,1.0
2024-02-21,AAPL,strategy,100000.0,1.0
2024-02-22,AAPL,strategy,100000.0,1.0
2024-02-23,AAPL,strategy,100000.0,1.0
2024-02-26,AAPL,strategy,100000.0,1.0
2024-02-27,AAPL,strategy,100000.0,1.0
2024-02-28,AAPL,strategy,100000.0,1.0
2024-02-29,AAPL,strategy,100000.0,1.0
2024-03-01,AAPL,strategy,100000.0,1.0
2024-03-04,AAPL,strategy,100000.0,1.0
2024-03-05,AAPL,strategy,100000.0,1.0
2024-03-06,AAPL,strategy,100000.0,1.0
2024-03-07,AAPL,strategy,100000.0,1.0
2024-03-08,AAPL,strategy,100000.0,1.0
2024-03-11,AAPL,strategy,100000.0,1.0
2024-03-12,AAPL,strategy,100000.0,1.0
2024-03-13,AAPL,strategy,100000.0,1.0
2024-03-14,AAPL,strategy,100000.0,1.0
2024-03-15,AAPL,strategy,100000.0,1.0
2024-03-18,AAPL,strategy,100000.0,1.0
2024-03-19,AAPL,strategy,100000.0,1.0
2024-03-20,AAPL,strategy,100000.0,1.0
2024-03-21,AAPL,strategy,100000.0,1.0
2024-03-22,AAPL,strategy,100000.0,1.0
2024-03-25,AAPL,strategy,100000.0,1.0
2024-03-26,AAPL,strategy,100000.0,1.0
2024-03-27,AAPL,strategy,100000.0,1.0
2024-03-28,AAPL,strategy,100000.0,1.0
2024-04-01,AAPL,strategy,100000.0,1.0
2024-04-02,AAPL,strategy,100000.0,1.0
2024-04-03,AAPL,strategy,100000.0,1.0
2024-04-04,AAPL,strategy,100000.0,1.0
2024-04-05,AAPL,strategy,100000.0,1.0
2024-04-08,AAPL,strategy,100000.0,1.0
2024-04-09,AAPL,strategy,100000.0,1.0
2024-04-10,AAPL,strategy,100000.0,1.0
2024-04-11,AAPL,strategy,100000.0,1.0
2024-04-12,AAPL,strategy,100000.0,1.0
2024-04-15,AAPL,strategy,100000.0,1.0
2024-04-16,AAPL,strategy,100000.0,1.0
2024-04-17,AAPL,strategy,100000.0,1.0
2024-04-18,AAPL,strategy,100000.0,1.0
2024-04-19,AAPL,strategy,100000.0,1.0
2024-04-22,AAPL,strategy,100000.0,1.0
2024-04-23,AAPL,strategy,100000.0,1.0
2024-04-24,AAPL,strategy,100000.0,1.0
2024-04-25,AAPL,strategy,100000.0,1.0
2024-04-26,AAPL,strategy,100000.0,1.0
2024-04-29,AAPL,strategy,100000.0,1.0
2024-04-30,AAPL,strategy,100000.0,1.0
2024-05-01,AAPL,strategy,100000.0,1.0
2024-05-02,AAPL,strategy,100000.0,1.0
2024-05-03,AAPL,strategy,100000.0,1.0
2024-05-06,AAPL,strategy,100000.0,1.0
2024-05-07,AAPL,strategy,100000.0,1.0
2024-05-08,AAPL,strategy,100000.0,1.0
2024-05-09,AAPL,strategy,100000.0,1.0
2024-05-10,AAPL,strategy,100000.0,1.0
2024-05-13,AAPL,strategy,100000.0,1.0
